Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2016,Roxanne Quimby,North Carolina,Manufacturing,National Park Foundation (Washington),District of Columbia,Other groups,Noncash,"$80,000,000 "
2016,Ronald O. Perelman,New York,Finance,World Trade Center (New York),New York,Arts,Pledge,"$75,000,000 "
2016,Steven A. and Alexandra M. Cohen Foundation (Steven A. and Alexandra M. Cohen),Connecticut,Finance,NewYork-Presbyterian Hospital (New York),New York,Health,,"$75,000,000 "
2016,Steven A. and Alexandra M. Cohen Foundation (Steven A. and Alexandra M. Cohen),Connecticut,Finance,New York-Presbyterian Hospital,New York,Health,,"$75,000,000 "
2016,Robert and Helen Larner,California,"Health care, Investments",U. of Vermont College of Medicine (Burlington),Vermont,Colleges and universities,BequestPledge,"$66,000,000 "
2016,Mickey Sands and Rob Sands and Richard Sands,,Food and beverage,Rochester Area Community Foundation (N.Y.),New York,Community foundations,,"$61,000,000 "
2016,Suzanne Dworak-Peck,California,Investments,"U. of Southern California, Suzanne Dworak-Peck School of Social Work (Los Angeles)",California,Colleges and universities,Gift,"$60,000,000 "
2016,Nina von Maltzahn,,Family wealth,Curtis Institute of Music (Philadelphia),Pennsylvania,Colleges and universities,Pledge,"$55,000,000 "
2016,Walter Scott Jr.,Nebraska,Telecommunications,Colorado State U. (Fort Collins),Colorado,Colleges and universities,,"$53,300,000 "
2016,Wayne D. Kuni and Joan E. Kuni Foundation (Joan E. Kuni),Washington,Retail,Community Foundation for Southwest Washington (Vancouver),Washington,Community foundations,Gift,"$50,000,000 "
2016,William K. Bowes Jr. Foundation (William K. Bowes Jr.),California,"Health products, Investments, Manufacturing",U. of California at San Francisco,California,Colleges and universities,Pledge,"$50,000,000 "
2016,Mulva Family Foundation (James and Miriam Mulva),Texas,"Energy, Oil",U. of Texas at Austin,Texas,Colleges and universities,Pledge,"$50,000,000 "
2016,Harold C. and Annette C. Simmons,Texas,Investments,Trinity Park (Dallas),Texas,Other groups,Gift,"$50,000,000 "
2016,Bloomberg Philanthropies (Michael R. Bloomberg),New York,Media and entertainment,"Museum of Science, Boston",Massachusetts,Museums and libraries,,"$50,000,000 "
2016,Steven and Roberta Denning,Connecticut,Finance,Stanford U. (Calif.),California,Colleges and universities,Gift,"$50,000,000 "
2016,Elaine Wynn,Nevada,"Casinos, Family wealth, Hotels",Los Angeles County Museum of Art,California,Arts,Pledge,"$50,000,000 "
2016,Sidney Kimmel,Florida,Finance,Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,,"$50,000,000 "
2016,Michael R. Bloomberg,New York,Media and entertainment,Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,,"$50,000,000 "
2016,Harriet Heyman and Michael Moritz,California,,U. of Chicago,Illinois,Colleges and universities,Pledge,"$50,000,000 "
2016,Fund II Foundation (Robert F. Smith),,Finance,"Cornell U. (Ithaca, N.Y.)",New York,Colleges and universities,Pledge,"$50,000,000 "
2016,Anonymous,,,"Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,,"$50,000,000 "
2016,Howard R. Levine,North Carolina,Retail,"Foundation for the Carolinas (Charlotte, N.C.)",North Carolina,Community foundations,Gift,"$45,000,000 "
2016,Jeffrey Gundlach,California,Finance,"Albright-Knox Art Gallery (Buffalo, N.Y.)",New York,Arts,GiftChallenge,"$42,000,000 "
2016,Morton Harris,Michigan,Manufacturing,Henry Ford Health System (Detroit),Michigan,Health,GiftChallenge,"$40,000,000 "
2016,James F. Goldstein,California,Real estate,Los Angeles County Museum of Art,California,Arts,GiftNoncash,"$40,000,000 "
2016,Richard and Joyce Farmer,Ohio,Manufacturing,"Miami U. (Oxford, Ohio)",Ohio,Colleges and universities,Gift,"$40,000,000 "
2016,Thompson Dean,New York,Finance,U. of Virginia (Charlottesville),Virginia,Colleges and universities,Pledge,"$40,000,000 "
2016,Gross Family Foundation (William H. and Sue Gross),California,"Finance, Investments",U. of California at Irvine,California,Colleges and universities,,"$40,000,000 "
2016,Stanton Foundation (Frank Stanton),New York,Media and entertainment,Ohio State U. College of Veterinary Medicine (Columbus),Ohio,Colleges and universities,Pledge,"$39,000,000 "
2016,Simons Foundation (James Simons),New York,Finance,U. of California at San Diego,California,Colleges and universities,Gift,"$38,400,000 "
2016,Marcus Foundation (Bernard and Billi Marcus),Georgia,Retail,Hillel International (Washington),District of Columbia,Religious groups,Gift,"$38,000,000 "
2016,Ernest Tschannen,,"Real estate, Engineering",U. of California at Davis Eye Center,California,Colleges and universities,Pledge,"$37,000,000 "
2016,Saul Zaentz Charitable Foundation (Saul Zaentz),Illinois,Entertainment,"Harvard Graduate School of Education (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$35,500,000 "
2016,Richard and Carolyn Barry,,Media and entertainment,"Old Dominion U. (Norfolk, Va.)",Virginia,Colleges and universities,Pledge,"$35,000,000 "
2016,Michael P. Polsky,Illinois,Energy,U. of Chicago,Illinois,Colleges and universities,,"$35,000,000 "
2016,Joe and Rika Mansueto,Illinois,Finance,U. of Chicago,Illinois,Colleges and universities,,"$35,000,000 "
2016,Dorothy Braude Edinburg,Massachusetts,Retail,Art Institute of Chicago,Illinois,Arts,Bequest,"$35,000,000 "
2016,Jeffrey A. and Patricia O'Brien Cole,Florida,Health products,Cleveland Clinic,Ohio,Health,,"$31,000,000 "
2016,Sheryl Sandberg,California,Technology,"Sheryl Sandberg Philanthropy Fund (Menlo Park, Calif.)",California,Human and social services,,"$31,000,000 "
2016,Anonymous,,,"City of Hope (Duarte, Calif.)",California,Health,Pledge,"$30,150,000 "
2016,Donald E. Brown,Indiana,Telecommunications,Indiana U. School of Medicine (Indianapolis),Indiana,Colleges and universities,,"$30,000,000 "
2016,Austin W. Marxe,New York,Finance,"City U. of New York, Bernard M. Baruch College",New York,Colleges and universities,Gift,"$30,000,000 "
2016,Howard and Rose-Marie Meyers,,Manufacturing,"New York U., College of Nursing",New York,Colleges and universities,,"$30,000,000 "
2016,Mulva Family Foundation (James and Miriam Mulva),Texas,"Energy, Oil",U. of Texas MD Anderson Cancer Center (Houston),Texas,Health,Gift,"$25,000,000 "
2016,J. Landis and Sharon Martin,Colorado,Finance,Denver Art Museum,Colorado,Arts,,"$25,000,000 "
2016,Rosaline and Marcia Cohn,Illinois,Food and beverage,Roosevelt U. (Chicago),Illinois,Colleges and universities,Bequest,"$25,000,000 "
2016,Warren Spector,,Finance,St. John's College (Md.),Maryland,Colleges and universities,,"$25,000,000 "
2016,Ronald H. Fielding,New York,Finance,St. John's College (Md.),Maryland,Colleges and universities,,"$25,000,000 "
2016,Eric and Susan Smidt,California,Retail,Los Angeles County Museum of Art,California,Arts,Pledge,"$25,000,000 "
2016,Ron and Alexis Fowler,,Professional Sports,San Diego State U.,California,Colleges and universities,Pledge,"$25,000,000 "
2016,Ric and Jean Edelman,Virginia,"Consulting, Finance","Rowan U. (Glassboro, N.J.)",New Jersey,Colleges and universities,Pledge,"$25,000,000 "
2016,Thomas and Stacey Siebel Foundation (Thomas M. and Stacey Siebel),California,Technology,U. of Illinois at Urbana-Champaign,Illinois,Colleges and universities,,"$25,000,000 "
2016,Brian L. and Aileen Roberts,Pennsylvania,"Media and entertainment, Telecommunications",Children's Hospital of Philadelphia,Pennsylvania,Health,Gift,"$25,000,000 "
2016,Anonymous,,,Jupiter Medical Center Foundation (Fla.),Florida,Health,Gift,"$25,000,000 "
2016,Woody and Gayle Hunt Family Foundation (Woody L. and Gayle Hunt),Texas,Real estate,Texas Tech U. Health Sciences Center at El Paso,Texas,Colleges and universities,Gift,"$25,000,000 "
2016,Bill and Susan Oberndorf Foundation (Bill and Susan Oberndorf),California,Investments,U. of California at San Francisco,California,Colleges and universities,Gift,"$25,000,000 "
2016,Robertson Foundation (Julian H. Robertson Jr.),New York,Finance,Success Academy Charter Schools (New York),New York,Education,Gift,"$25,000,000 "
2016,Thompson Family Foundation (Wade F.B. Thompson),Ohio,Manufacturing,Central Park Conservancy (New York),New York,Other groups,Bequest,"$25,000,000 "
2016,Blavatnik Family Foundation (Len Blavatnik),New York,"Chemicals, Media and entertainment, Real estate, Telecommunications",Carnegie Hall (New York),New York,Arts,,"$25,000,000 "
2016,Tim and Michele Barakett,,Finance,"Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,,"$25,000,000 "
2016,Barry MacLean,Illinois,Manufacturing,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,"$25,000,000 "
2016,David J. Breazzano,Massachusetts,Finance,"Cornell U. (Ithaca, N.Y.)",New York,Colleges and universities,,"$25,000,000 "
2016,Andre and Julia Lacy,Indiana,"Investments, Manufacturing",Butler U. (Indianapolis),Indiana,Colleges and universities,Pledge,"$25,000,000 "
2016,Jerry Perenchio,California,Media and entertainment,Los Angeles County Museum of Art,California,Arts,Pledge,"$25,000,000 "
2016,Edward P. Roski Jr. and Gayle Garner Roski,California,Real estate,"U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,,"$25,000,000 "
2016,Ross and Billie McKnight,Texas,"Agriculture, Finance, Oil",Oklahoma State U. (Stillwater),Oklahoma,Colleges and universities,,"$25,000,000 "
2016,Mordecai and Monique Katz,,Engineering,Yeshiva U. (New York),New York,Colleges and universities,,"$25,000,000 "
2016,Tow Foundation (Leonard Tow and Emily Tow Jackson),,Telecommunications,Barnard College (New York),New York,Colleges and universities,,"$25,000,000 "
2016,Philip and Cheryl Milstein,New York,Real estate,Barnard College (New York),New York,Colleges and universities,,"$25,000,000 "
2016,Jonathan Nelson,Rhode Island,Finance,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,,"$25,000,000 "
2016,Charles Widger,Pennsylvania,Investments,Villanova U. School of Law (Pa.),Pennsylvania,Colleges and universities,,"$25,000,000 "
2016,William A. Franke,Arizona,,U. of Montana Foundation (Missoula),Montana,Colleges and universities,Pledge,"$24,000,000 "
2016,Rady Family Foundation (Ernest and Evelyn Rady),California,Real estate,U. of Manitoba (Canada),,Colleges and universities,,"$23,400,000 "
2016,William Finneran,New York,Finance,Villanova U. (Pa.),Pennsylvania,Colleges and universities,,"$22,600,000 "
2016,Andrew and Barbara Taylor,Missouri,Retail,Saint Louis Art Museum (St. Louis),Missouri,Museums and libraries,,"$21,000,000 "
2016,H.F. (Gerry) Lenfest,Pennsylvania,Media and entertainment,Philadelphia Foundation,Pennsylvania,Other groups,Gift,"$20,000,000 "
2016,Jeffrey and Marieke Rothschild,California,Technology,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,,"$20,000,000 "
2016,Maurice and Carolyn Dursi Cunniffe,,"Finance, Investments",Fordham U. (New York),New York,Colleges and universities,,"$20,000,000 "
2016,Anonymous,,,"Northern State U. (Aberdeen, S.D.)",South Dakota,Colleges and universities,,"$20,000,000 "
2016,Dennis & Phyllis Washington Foundation (Dennis R. and Phyllis Washington),Montana,Investments,Young Life (Colorado Springs),Colorado,Religious groups,Gift,"$20,000,000 "
2016,Nancy and Charles D. Davidson,,,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,,"$20,000,000 "
2016,JSM Charitable Trust (James S. McDonnell III and Elizabeth Hall McDonnell),Missouri,"Family wealth, Manufacturing","Hollins U. (Roanoke, Va.)",Virginia,Colleges and universities,,"$20,000,000 "
2016,Rob Sands,New York,Food and beverage,Rochester Regional Health (N.Y.),New York,Health,Gift,"$20,000,000 "
2016,Reid Hoffman and Michelle Yee,California,Technology,Chan Zuckerberg Biohub (San Francisco),California,Health,Pledge,"$20,000,000 "
2016,Wally and Barbara Weitz,,"Finance, Investments","Carleton College (Northfield, Minn.)",Minnesota,Colleges and universities,MatchingGift,"$20,000,000 "
2016,Anonymous,,,"Georgetown Preparatory School (Bethesda, Md.)",Maryland,Education,,"$20,000,000 "
2016,Anonymous,,,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,MatchingChallenge,"$20,000,000 "
2016,Wong family,Texas,Health care,U. of Texas at Austin,Texas,Colleges and universities,,"$20,000,000 "
2016,Marc R. and Lynne Benioff,California,Technology,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$20,000,000 "
2016,Kem Gardner,Utah,Real estate,Intermountain Foundation (Salt Lake City),Utah,Health,Pledge,"$20,000,000 "
2016,Robert Patton Jr. and Sherri Patton,,"Insurance, Oil",U. of Texas at Austin,Texas,Colleges and universities,Pledge,"$20,000,000 "
2016,Robert F. Smith,Texas,Finance,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,Gift,"$20,000,000 "
2016,Ronda E. Stryker and William D. Johnston,Michigan,Health products,Harvard Medical School (Boston),Massachusetts,Colleges and universities,Pledge,"$20,000,000 "
2016,Margo Leavin,,,U. of California at Los Angeles,California,Colleges and universities,,"$20,000,000 "
2016,Tilman Fertitta,Texas,Food and beverage,U. of Houston,Texas,Colleges and universities,Pledge,"$20,000,000 "
2016,Anonymous,,,"U. of Rochester, Simon Graduate School of Business (N.Y.)",New York,Colleges and universities,PledgeBequest,"$20,000,000 "
2016,Anonymous,,,Colorado State U. (Fort Collins),Colorado,Colleges and universities,Pledge,"$20,000,000 "
2016,Anonymous,,,"George Mason U. (Fairfax, Va.)",Virginia,Colleges and universities,Gift,"$20,000,000 "
2016,Delores Barr Weaver,Florida,Investments,Community Foundation for Northeast Florida (Jacksonville),Florida,Community foundations,,"$20,000,000 "
2016,Allan and Shelley Holt,District of Columbia,Finance,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,,"$20,000,000 "
2016,Louis A. Simpson and Kimberly K. Querrey,Florida,"Finance, Insurance",Princeton U. (N.J.),New Jersey,Colleges and universities,,"$20,000,000 "
2016,Don and Barbara Daseke,Texas,Transportation,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,"$20,000,000 "
2016,Jay and Mary Flaherty,New York,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$20,000,000 "
2016,Jimmy and Susan Dunne,New York,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$20,000,000 "
2016,Wally and Barbara Weitz,,"Finance, Investments","Carleton College (Northfield, Minn.)",Minnesota,Colleges and universities,,"$20,000,000 "
2016,William and Linda Frost,,Manufacturing,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,Pledge,"$20,000,000 "
2016,Jack and Vickie Farber,,,Thomas Jefferson U. (Philadelphia),Pennsylvania,Colleges and universities,,"$20,000,000 "
2016,Anonymous,,,Colorado State U. (Fort Collins),Colorado,Colleges and universities,,"$20,000,000 "
2016,Joshua and Amy Boger,Massachusetts,Pharmaceuticals,"Wesleyan U. (Middletown, Conn.)",Connecticut,Colleges and universities,,"$20,000,000 "
2016,P. Roy and Diana T. Vagelos,New Jersey,Pharmaceuticals,Barnard College (New York),New York,Colleges and universities,,"$20,000,000 "
2016,Bob and Doris Malesardi,Florida,"Finance, Real estate","Bucknell U. (Lewisburg, Pa.)",Pennsylvania,Colleges and universities,Pledge,"$20,000,000 "
2016,Dorothea Ilgen Shaffer,Pennsylvania,Education,Syracuse U. (N.Y.),New York,Colleges and universities,Bequest,"$19,800,000 "
2016,Robert and Helen Larner,,Health care,U. of Vermont (Burlington),Vermont,Colleges and universities,Noncash,"$19,700,000 "
2016,Don B. Huntley,California,Agriculture,California Polytechnic State U. at Pomona,California,Colleges and universities,Gift,"$19,200,000 "
2016,David M. Rubenstein,Maryland,Finance,National Park Foundation (Washington),District of Columbia,Historic preservation,Gift,"$18,500,000 "
2016,Madeline and Sidney Forbes,Michigan,,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Pledge,"$17,500,000 "
2016,Cora Nunnally Miller,Massachusetts,"Family wealth, Food and beverage",U. of Georgia (Athens),Georgia,Colleges and universities,Bequest,"$17,000,000 "
2016,Frank and Cindy Liu Family Foundation (Frank Liu),Texas,Real estate,Rice U. (Houston),Texas,Colleges and universities,Gift,"$16,500,000 "
2016,John Bancker Gribbel,,,"Riddle Hospital (Media, Pa.)",Pennsylvania,Health,,"$16,000,000 "
2016,Anonymous,,,Baltimore Community Foundation,Maryland,Community foundations,Gift,"$16,000,000 "
2016,KLE Foundation (Lorraine (Rani) Clasquin and Eric Harslem),Texas,Technology,"IDEA Public Schools (Austin, Tex.)",Texas,Education,Gift,"$16,000,000 "
2016,Harlan and Linda Martens,,Law,U. of Southern California (Los Angeles),California,Colleges and universities,Pledge,"$15,000,000 "
2016,Anonymous,,,"Northern State U. (Aberdeen, S.D.)",South Dakota,Colleges and universities,,"$15,000,000 "
2016,Jay H. and Patty Baker,Florida,Retail,"NCH Healthcare System (Naples, Fla.)",Florida,Health,Gift,"$15,000,000 "
2016,Clark Charitable Foundation (Courtney Clark Pastrick),,Family wealth,Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,,"$15,000,000 "
2016,Tarble Family Foundation (Jan Tarble),California,Manufacturing,"Carthage College (Kenosha, Wis.)",Wisconsin,Colleges and universities,,"$15,000,000 "
2016,Decherd Foundation (Robert and Maureen Decherd),Texas,Media and entertainment,Parks for Downtown Dallas,Texas,Other groups,Pledge,"$15,000,000 "
2016,Kevin Crofton,,Technology,Virginia Tech (Blacksburg),Virginia,Colleges and universities,,"$15,000,000 "
2016,Howard G. Buffett Foundation (Howard G. Buffett),Illinois,Family wealth,Illinois Law Enforcement Training and Standards Board (Decatur),Illinois,Public affairs,Gift,"$15,000,000 "
2016,Frank Joseph Fertitta III and Lorenzo Fertitta,Nevada,"Casinos, Professional Sports","New York U., Leonard N. Stern School of Business",New York,Colleges and universities,,"$15,000,000 "
2016,Ben C. Sutton Jr.,North Carolina,Marketing,"Wake Forest U. (Winston-Salem, N.C.)",North Carolina,Colleges and universities,,"$15,000,000 "
2016,James (Jim) McKelvey Jr.,Missouri,Technology,Washington U. in St. Louis,Missouri,Colleges and universities,,"$15,000,000 "
2016,Dan and Jennifer Gilbert,Ohio,"Finance, Professional Sports",Michigan State U. (East Lansing),Michigan,Colleges and universities,,"$15,000,000 "
2016,Robert McCreary,,Professional Sports,"Wake Forest U. (Winston-Salem, N.C.)",North Carolina,Colleges and universities,Pledge,"$15,000,000 "
2016,Keith L. and Katherine Sachs,Pennsylvania,Industry,U. of Pennsylvania (Philadelphia),Pennsylvania,Colleges and universities,,"$15,000,000 "
2016,John Streicker,,Law,Temple Emanu-El (New York),New York,Religious groups,,"$15,000,000 "
2016,Robert P. and Joan McGrath,California,Industry,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$15,000,000 "
2016,Jaharis Family Foundation (Steven and Mary Jaharis),Illinois,Health care,Tufts U. School of Medicine (Boston),Massachusetts,Colleges and universities,Gift,"$15,000,000 "
2016,Raymond J. and Kathryn Harbert,Alabama,Finance,"Auburn U., College of Business (Ala.)",Alabama,Colleges and universities,Gift,"$15,000,000 "
2016,Hugh Schilling,Minnesota,Manufacturing,St. Paul Academy and Summit School,Minnesota,Education,Gift,"$15,000,000 "
2016,Richard Rosenthal,Ohio,Media and entertainment,U. of Cincinnati,Ohio,Colleges and universities,Gift,"$15,000,000 "
2016,Ann Wolfe,Ohio,Media and entertainment,"Nationwide Children's Hospital (Columbus, Ohio)",Ohio,Health,Gift,"$15,000,000 "
2016,Nancy Blackburn Hamon,Texas,"Family wealth, Oil",Children's Medical Center Foundation (Dallas),Texas,Health,Bequest,"$15,000,000 "
2016,Anonymous,,,"Dartmouth College, Geisel School of Medicine (Hanover, N.H.)",New Hampshire,Colleges and universities,MatchingGift,"$15,000,000 "
2016,Michael Klein,,"Law, Real estate","Harvard Law School (Cambridge, Mass.)",Massachusetts,Colleges and universities,,"$15,000,000 "
2016,Steve Snyder,,,"Phillips Academy (Andover, Mass.)",Massachusetts,Education,Pledge,"$15,000,000 "
2016,Jonathan M. and Lizzie Tisch,New York,"Finance, Hotels","Tufts U. (Medford, Mass.)",Massachusetts,Colleges and universities,,"$15,000,000 "
2016,David C. Bohnett,California,,U. of Southern California (Los Angeles),California,Colleges and universities,Pledge,"$15,000,000 "
2016,Laurence Belfer,New York,"Energy, Oil",92nd Street Y (New York),New York,Arts,,"$15,000,000 "
2016,Robert Vackar,Texas,Transportation,U. of Texas Rio Grande Valley,Texas,Colleges and universities,Pledge,"$15,000,000 "
2016,Sidney and Lois Eskenazi,Indiana,Real estate,Indiana U. Art Museum (Bloomington),Indiana,Colleges and universities,GiftNoncash,"$15,000,000 "
2016,Ayers Foundation (James W. and Janet Ayers),Tennessee,Finance,Belmont U. (Nashville),Tennessee,Colleges and universities,,"$15,000,000 "
2016,Jay T. and Deborah R. Last,California,Technology,"U. of California at Los Angeles, Fowler Museum",California,Colleges and universities,PledgeMatching,"$15,000,000 "
2016,Busch Family Foundation (Tim and Steph Busch),,"Hotels, Law",Catholic U. of America (Washington),District of Columbia,Colleges and universities,,"$15,000,000 "
2016,Lupe Diaz Compean,California,Real estate,San Jose State U. (Calif.),California,Colleges and universities,,"$15,000,000 "
2016,Harlan Helvey,,"Investments, Real estate",U. of Southern California (Los Angeles),California,Colleges and universities,,"$15,000,000 "
2016,Louis A. Simpson and Kimberly K. Querrey,Florida,"Finance, Insurance",Artis-Naples (Fla.),Florida,Arts,,"$15,000,000 "
2016,Robert A. and Renee E. Belfer,New York,"Energy, Oil","Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,,"$15,000,000 "
2016,Jeffrey Soffer,Florida,Real estate,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,Gift,"$14,000,000 "
2016,Becky Benaroya,,Real estate,Tacoma Art Museum (Wash.),Washington,Arts,,"$14,000,000 "
2016,Lalit and Kavita Bahl,New York,Technology,Stony Brook U. Cancer Center (N.Y.),New York,Health,Pledge,"$13,750,000 "
2016,David M. Rubenstein,Maryland,Finance,U. of Chicago Law School,Illinois,Colleges and universities,,"$13,000,000 "
2016,James and Miriam Mulva,Texas,"Energy, Oil","St. Norbert College (De Pere, Wis.)",Wisconsin,Colleges and universities,,"$13,000,000 "
2016,Michael Smith,,Chemicals,Colorado State U. (Fort Collins),Colorado,Colleges and universities,,"$13,000,000 "
2016,Robert P. Hubbard,New Hampshire,Education,"Loomis Chaffee School (Windsor, Conn.)",Connecticut,Education,Bequest,"$12,000,000 "
2016,Kenneth C. Griffin,Illinois,Finance,Chicago Park District,Illinois,Other groups,Gift,"$12,000,000 "
2016,Robert P. Hubbard,New Hampshire,Education,"Kenyon College (Gambier, Ohio)",Ohio,Colleges and universities,Bequest,"$12,000,000 "
2016,Gary and Christine Rood,,"Health care, Real estate",Oregon Health & Science U. (Portland),Oregon,Colleges and universities,,"$12,000,000 "
2016,David Dobrow Trust (David Dobrow),California,Health care,U. of California at Los Angeles,California,Colleges and universities,Bequest,"$11,700,000 "
2016,Werner Feibes and James Schmitt,New York,Construction,"Hyde Collection (Glens Falls, N.Y.)",New York,Arts,GiftNoncash,"$11,000,000 "
2016,Greg Brown and Anna Brown and Steven Plofker and Bobbi Brown and Jeffrey Towers and Amy Robbins Towers,Illinois,Telecommunications,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,Gift,"$11,000,000 "
2016,Mani Lal Bhaumik,California,Health care,U. of California at Los Angeles,California,Colleges and universities,Gift,"$11,000,000 "
2016,Kenneth and Frances Eisenberg,Michigan,Mineral exploration,U. of Michigan Depression Center (Ann Arbor),Michigan,Health,Gift,"$10,750,000 "
2016,Leslie Ridley-Tree,California,"Industry, Transportation","Ridley-Tree Cancer Center (Santa Barbara, Calif.)",California,Health,Gift,"$10,730,000 "
2016,John Koza,,Technology,"Michigan State U., College of Engineering (East Lansing)",Michigan,Colleges and universities,Pledge,"$10,700,000 "
2016,John Rogers,Illinois,Finance,U. of Chicago Laboratory Schools,Illinois,Education,Pledge,"$10,500,000 "
2016,Eugene Colef,Michigan,Family wealth,Congregation of Moses (Kalamazoo),,Religious groups,BequestUnrestricted,"$10,500,000 "
2016,Joseph Neubauer and Jeanette Lerman-Neubauer,Pennsylvania,Food and beverage,U. of Chicago,Illinois,Colleges and universities,,"$10,500,000 "
2016,Richard Shipley,Massachusetts,Finance,Boston U. School of Medicine,Massachusetts,Colleges and universities,,"$10,500,000 "
2016,Christopher B. Galvin Family Foundation (Christopher B. Galvin),Illinois,Finance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,"$10,250,000 "
2016,Lester and Sue Smith Foundation (Lester and Sue Smith),Texas,"Energy, Oil",Baylor College of Medicine (Houston),Texas,Colleges and universities,,"$10,200,000 "
2016,Herb Alpert Foundation (Herb Alpert),California,Entertainment,Los Angeles City College,California,Colleges and universities,Gift,"$10,100,000 "
2016,Anonymous,,,New York U. Langone Medical Center,New York,Health,Gift,"$10,000,000 "
2016,Anonymous,,,U. of North Carolina School of the Arts (Winston-Salem),North Carolina,Colleges and universities,,"$10,000,000 "
2016,Kirsh family,New York,Food and beverage,UJA-Federation of New York,New York,Jewish federations,Gift,"$10,000,000 "
2016,Jon L. and Pat Stryker,Michigan,Family wealth,"Equal Justice Initiative (Montgomery, Ala.)",Alabama,Museums and libraries,Gift,"$10,000,000 "
2016,Gianforte Family Foundation (Greg Gianforte),Montana,Technology,"Stevens Institute of Technology (Hoboken, N.J.)",New Jersey,Colleges and universities,Gift,"$10,000,000 "
