Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2016,Philip H. and Penelope Knight,Oregon,Manufacturing,U. of Oregon (Eugene),Oregon,Colleges and universities,Pledge,"$500,000,000 "
2016,Nicolas Berggruen Charitable Trust (Nicolas Berggruen),California,Investments,Berggruen Institute (Los Angeles),California,Public affairs,,"$500,000,000 "
2016,Howard and Lottie Marcus,,"Health care, Investments","American Associates, Ben-Gurion U. of the Negev (New York)",New York,Colleges and universities,Bequest,"$400,000,000 "
2016,Philip H. Knight,Oregon,Manufacturing,Stanford U. (Calif.),California,Colleges and universities,,"$400,000,000 "
2016,Michael R. Bloomberg,New York,Media and entertainment,"Johns Hopkins U., Bloomberg School of Public Health (Baltimore)",Maryland,Colleges and universities,,"$300,000,000 "
2016,Steven A. Cohen,Connecticut,Finance,"Cohen Veterans Network (Stamford, Conn.)",Connecticut,Social services,Pledge,"$275,000,000 "
2016,Lawrence J. Ellison,California,Technology,U. of Southern California (Los Angeles),California,Colleges and universities,,"$200,000,000 "
2016,Charles T. Munger,California,Investments,U. of California at Santa Barbara,California,Colleges and universities,Pledge,"$200,000,000 "
2016,Sanford I. and Joan H. Weill,New York,Finance,U. of California at San Francisco,California,Colleges and universities,,"$185,000,000 "
2016,Sheryl Sandberg,California,Technology,"Sheryl Sandberg & Dave Goldberg Family Foundation (Menlo Park, Calif.)",California,Foundations,Gift,"$107,200,000 "
2016,Robert E. and Dorothy J. King,California,Finance,Stanford U. (Calif.),California,Colleges and universities,Gift,"$100,000,000 "
2016,Reed Hastings,,Entertainment,"Silicon Valley Community Foundation (Mountain View, Calif.)",California,Community foundations,,"$100,000,000 "
2016,Kingsley and Kenyon Gillespie,Connecticut,Media and entertainment,Massachusetts Institute of Technology (Cambridge),Massachusetts,Health,Bequest,"$100,000,000 "
2016,David Geffen,California,Entertainment,Museum of Modern Art (New York),New York,Arts,,"$100,000,000 "
2016,Paul G. Allen,Washington,Technology,Paul G. Allen Frontiers Group (Seattle),Washington,Science,Pledge,"$100,000,000 "
2016,Patricia and Phillip Frost,Florida,,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,,"$100,000,000 "
2016,Simons Foundation (Russell L. Carson and James Simons),New York,"Finance, Investments",New York Genome Center,New York,Other groups,Pledge,"$100,000,000 "
2016,Frank Ferguson,Massachusetts,Education,Iowa State U. Foundation (Ames),Iowa,Colleges and universities,Noncash,"$93,000,000 "
