,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
0,89.0,164590,9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,Milwaukee,nan,53463.0,3.11,Executive Director,349718.0,90.56,111522,1350382,Human and Civil Rights : Advocacy and Education ,49634.0,89.75,0,1440463,WI,1999023
1,86.0,1001560,'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,Hilo,nan,73500.0,1.47,Executive Director,1175965.0,85.92,54613,14773920,Education : Early Childhood Programs and Services ,382540.0,85.95,0,3912270,HI,3339358
2,85.0,93957,AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,New York,nan,85000.0,0.99,Executive Director,-461502.0,77.65,248833,-770370,International : Development and Relief Services ,0.0,80.96,0,8157850,NY,8039138
3,86.0,346867,Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,Brooklyn,nan,61220.0,0.78,Acting Executive Director,1872733.0,97.5,384550,11460087,"Education : Scholarship and Financial Support , ",-81726.0,89.94,0,7018262,NY,9704138
4,97.0,135195,Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080,Temecula,nan,74244.0,5.41,President,-103940.0,87.08,87436,723772,Religion : Religious Activities ,32436.0,90.62,0,1148407,CA,1234662
5,100.0,505751,Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,San Francisco,nan,312498.0,2.85,President & Founder,1931497.0,93.14,377933,40621685,Human and Civil Rights : Advocacy and Education ,320916.0,95.14,0,10059539,CA,12355178
6,89.0,103173,Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,Stone Mountain,nan,85665.0,7.27,Executive Director,-126216.0,99.94,49542,3579208,Community Development : Housing and Neighborhood Development ,-13057.0,92.22,33556,1024283,GA,536485
7,100.0,663845,Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,Gaithersburg,nan,154999.0,6.01,Executive Director,-294094.0,79.94,218404,7474607,Environment : Environmental Protection and Conservation ,101537.0,85.81,0,1695556,MD,2170503
8,100.0,77155,"It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,Atlanta,nan,110110.0,7.36,Executive Director,107849.0,89.98,76939,808446,"Health : Medical Research , ",10299.0,92.91,0,1340579,GA,1473462
9,89.0,200643,Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,Bellevue,nan,98048.0,5.89,Executive Director,-59227.0,78.66,238249,1173256,"Education : Scholarship and Financial Support , ",29857.0,83.02,0,1225020,WA,1574828
10,93.0,611779,Hydrocephalus Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367,Bethesda,nan,200000.0,5.02,CEO,714966.0,84.82,562998,3645570,"Health : Diseases, Disorders, and Disciplines ",47177.0,88.17,0,2805884,MD,4595007
11,85.0,177985,Hyde Park Art Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747,Chicago,nan,,,nan,-91315.0,90.27,255073,6368885,"Arts, Culture, Humanities : Museums ",3505.0,87.35,0,1728407,IL,1287542
12,89.0,359125,The Hyde Collection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456,Glens Falls,nan,73138.0,4.14,Director,2131553.0,81.78,184263,24114195,"Arts, Culture, Humanities : Museums ",718853.0,84.95,0,1222660,NY,3051056
13,89.0,168553,Huntsville Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797,Huntsville,nan,82500.0,4.51,"President, CEO",-3753.0,75.39,147873,131009,"Arts, Culture, Humanities : Performing Arts ",30692.0,80.93,0,1512485,AL,1044160
14,100.0,940855,Huntington's Disease Society of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075,New York,nan,264026.0,3.28,Chief Executive Officer,537310.0,87.34,853135,4553274,"Health : Diseases, Disorders, and Disciplines ",16889.0,91.04,0,6247620,NY,8562031
15,100.0,119743,Huron River Watershed Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855,Ann Arbor,nan,104945.0,6.73,Executive Director,29518.0,91.9,136818,1028525,Environment : Environmental Protection and Conservation ,4345.0,94.27,0,1302535,MI,1063890
16,89.0,83378,Byrnes Health Education Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426,York,nan,89280.0,7.86,"President, CEO",-22834.0,83.8,162845,5209352,Health : Treatment and Prevention Services ,140551.0,86.15,0,888514,PA,809534
17,89.0,548733,Huntsville Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198,Huntsville,nan,151680.0,4.51,CEO,7440415.0,90.95,98906,18192084,"Environment : Botanical Gardens, Parks, and Nature Centers ",248250.0,89.92,0,2712221,AL,10103153
18,81.0,204621,Huntsville Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766,Huntsville,nan,150988.0,6.53,Executive Director,66429.0,73.91,344880,97615,"Arts, Culture, Humanities : Museums ",26406.0,77.17,0,1760358,AL,1985118
19,93.0,18026507,Cystic Fibrosis Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142,Bethesda,nan,496970.0,0.19,"President, CEO",-44527665.0,97.35,18419757,3679424528,"Health : Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations:",89274989.0,94.7,0,221903338,MD,122210533
20,85.0,68569,Curious Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445,Denver,nan,,,nan,74817.0,74.6,134783,584693,"Arts, Culture, Humanities : Performing Arts ",-11920.0,79.14,0,1000940,CO,861035
21,100.0,336234,Cure SMA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524,Elk Grove Village,nan,182099.0,2.4,President,307259.0,78.2,1009256,2695113,"Health : Diseases, Disorders, and Disciplines ",673000.0,84.58,0,6220527,IL,5818435
22,96.0,385923,CurePSP,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827,New York,nan,193846.0,6.14,President,71600.0,86.36,522075,2226006,Health : Medical Research ,2965.0,89.94,0,2244223,NY,3119335
23,100.0,838660,CURE International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545,New Cumberland,nan,168480.0,0.24,"President, CEO",-14162177.0,92.5,3327969,102655210,International : Development and Relief Services ,707769.0,94.69,0,65695537,PA,23035192
24,82.0,416919,Dégagé Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604,Grand Rapids,nan,72079.0,3.89,Executive Director,-27245.0,89.5,63375,2144882,Human Services : Homeless Services ,-24976.0,85.26,0,1371628,MI,1737373
25,100.0,152412,Cystinosis Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069,Irvine,nan,,,Chair,1820010.0,86.88,600799,4522420,"Health : Medical Research , ",38599.0,90.72,0,2284337,CA,4818959
26,100.0,124005,dZi Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599,Ridgway,nan,77762.0,6.09,President,166629.0,94.64,164621,2000106,International : Development and Relief Services ,-10572.0,96.2,0,987277,CO,1453104
27,96.0,77735,Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965,New York,nan,153012.0,9.46,Executive Director,-8398.0,94.71,169908,2775860,"Health : Diseases, Disorders, and Disciplines ",857985.0,95.31,0,1368684,NY,749944
28,100.0,552261,CuriOdyssey,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769,San Mateo,nan,147578.0,3.37,Executive Director,2682302.0,81.16,1052723,15706277,"Arts, Culture, Humanities : Museums ",603495.0,86.67,0,2769811,CA,5578134
29,100.0,163132,Dystonia Medical Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640,Chicago,nan,144894.0,5.86,Executive Director,2655471.0,83.97,268624,4434900,Health : Medical Research ,15833.0,88.66,0,2038421,IL,5109815
30,89.0,201970,24 Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,Charlotte,nan,69731.0,2.25,Executive Director,-928932.0,80.0,144269,-427225,Health : Medical Research ,7134.0,83.85,0,2741091,NC,1999290
31,100.0,1418750,Dumb Friends League,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610,Denver,nan,302320.0,1.64,President,-1551599.0,89.94,2463940,70125179,"Animals : Animal Rights, Welfare, and Services ",2788674.0,92.88,0,14526815,CO,12195279
32,100.0,1337698,Durham Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985,Durham,nan,148024.0,0.71,Chief Executive Officer,-8027987.0,100.0,574279,15582886,Human Services : Homeless Services ,4340235.0,100.0,0,18843152,NC,7897648
33,93.0,462033,Dutchess County SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764,Hyde Park,nan,41686.0,1.9,Former Executive Director,-673663.0,86.19,113929,6009181,"Animals : Animal Rights, Welfare, and Services ",258802.0,89.05,0,1609406,NY,748227
34,100.0,102716,DuPage PADS,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278,Wheaton,nan,131808.0,3.51,Executive Director,390812.0,82.83,558415,2600177,Human Services : Homeless Services ,-57347.0,87.85,0,3085564,IL,4045611
35,78.0,267388,DuPage Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735,Naperville,nan,120672.0,2.97,"President, CEO",353973.0,81.13,330570,3602916,"Arts, Culture, Humanities : Museums ",1325508.0,79.5,0,3463609,IL,1303678
36,96.0,6146668,Ducks Unlimited,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631,Memphis,nan,511842.0,0.25,Chief Executive Officer,28422623.0,84.07,37813823,195923938,"Animals : Wildlife Conservation ,This rating represents consolidated financial data for these organizations:",24159550.0,88.38,0,159565880,TN,207789444
37,89.0,488815,Dubuque County Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812,Dubuque,nan,110200.0,1.57,President/CEO,-2299475.0,93.25,228191,41573178,"Arts, Culture, Humanities : Museums ",760401.0,90.87,0,6284975,IA,1447829
38,100.0,274079,4 Paws for Ability ,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055,Xenia,nan,103803.0,3.4,Executive Director,621712.0,92.5,163774,3500111,Human Services : Social Services ,215424.0,94.69,0,2610426,OH,976681
39,82.0,112524,Dubuque Regional Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181,Dubuque,nan,80000.0,7.33,"President, CEO",-432203.0,93.05,102647,5497007,"Animals : Animal Rights, Welfare, and Services ",129752.0,86.35,0,875329,IA,200955
40,96.0,177504,Drugs for Neglected Diseases Initiative North America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059,New York,nan,154141.0,5.16,Executive Director,232256.0,79.98,394582,566614,Health : Medical Research ,241.0,85.56,0,2414640,NY,3218741
41,82.0,740208,Drisha Institute for Jewish Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9364,New York,nan,150759.0,7.46,Dean,-835454.0,69.28,55864,7018400,Religion : Religious Activities ,388176.0,74.82,0,1223452,NY,700617
42,96.0,355811,Dress for Success Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942,New York,nan,,,Chief Executive Officer,332576.0,90.0,962492,5107651,Human Services : Social Services ,2940350.0,92.38,2254689,21828611,NY,20539140
43,93.0,167750,Dreams Come True,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9624,Jacksonville,nan,108720.0,4.77,Executive Director,108718.0,99.85,136823,4620438,Health : Patient and Family Support ,559187.0,95.04,0,1971526,FL,1825630
44,89.0,60495,Dream Factory,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9630,Louisville,nan,,,Chief Executive Officer,33649.0,96.22,29852,3505329,Health : Patient and Family Support ,-5029.0,91.77,159325,2181218,KY,2310243
45,85.0,476124,The Drawing Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6729,New York,nan,175000.0,7.88,Executive Director,-281839.0,83.31,333896,8918807,"Arts, Culture, Humanities : Museums ",15173.0,84.13,0,1409669,NY,1870018
46,89.0,100694,The Drake House,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13324,Roswell,nan,78750.0,8.98,Executive Director,214028.0,95.35,70581,2517282,"Human Services : Youth Development, Shelter, and Crisis Services ",149850.0,91.55,0,704707,GA,928160
47,100.0,88841,Downtown Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9643,Huntsville,nan,101450.0,1.11,"President, CEO",1785719.0,85.0,1002981,7351178,Human Services : Homeless Services ,0.0,89.39,0,8005282,AL,10866393
48,93.0,368708,Dream Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9892,Santa Barbara,nan,162176.0,3.61,Executive Director,-653513.0,97.07,379683,4205692,Health : Patient and Family Support ,-129438.0,94.63,0,3737808,CA,3962124
49,96.0,786239,Downtown Women's Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9461,Los Angeles,nan,146314.0,1.98,Chief Executive Officer,63453.0,87.26,679258,17685957,Human Services : Homeless Services ,225037.0,90.55,0,5906129,CA,6653125
50,96.0,168761,Dress for Success Houston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9703,Houston,nan,149520.0,7.38,President,328637.0,90.6,235553,13297040,Human Services : Social Services ,203944.0,92.77,0,1621606,TX,2150613
51,89.0,417058,DreamYard Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12702,Bronx,nan,112300.0,2.64,Co-Director,348133.0,91.11,290265,1270018,Education : Youth Education Programs and Services ,5.0,89.99,0,3540950,NY,3544959
52,77.0,426800,Downtown Cleveland Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9155,Cleveland,nan,248020.0,3.88,"President, CEO",640459.0,88.93,292911,2673256,Community Development : Housing and Neighborhood Development ,57070.0,81.95,0,5668986,OH,6395443
53,89.0,323355,Downtown Community Television Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9361,New York,nan,86430.0,2.2,"Co-Executive Director, President",57141.0,97.47,162127,3557955,"Arts, Culture, Humanities : Performing Arts ",8875.0,92.01,0,3427753,NY,931376
54,96.0,1139640,DoveLewis Emergency Animal Hospital,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12512,Portland,nan,246301.0,2.14,Chief Executive Officer,634721.0,85.0,416782,7032558,"Animals : Animal Rights, Welfare, and Services ",62906.0,89.02,0,9935409,OR,1763793
55,82.0,363126,Downline Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14124,Memphis,nan,25749.0,1.37,Executive Director,-227165.0,84.35,90845,1098466,Religion : Religious Activities ,99727.0,83.13,0,1417719,TN,1251931
56,93.0,221067,The Dougy Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13186,Portland,nan,78395.0,4.5,Executive Director,-255466.0,77.32,314057,5304123,Human Services : Children's and Family Services ,497719.0,83.21,0,1204358,OR,923189
57,100.0,393930,Double H Ranch,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10568,Lake Luzerne,nan,201030.0,4.95,"CEO, Executive Director",2797545.0,81.29,733908,17319878,Health : Patient and Family Support ,474123.0,86.77,0,2926279,NY,6377539
58,96.0,217621,Dr. Susan Love Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11077,Encino,nan,210000.0,7.59,President,86969.0,89.4,273590,2963707,Health : Medical Research ,-168319.0,91.98,0,2272183,CA,2967182
59,100.0,133693,Doug Flutie Jr. Foundation For Autism,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8742,Framingham,nan,60000.0,5.64,Executive Director,656743.0,80.34,119799,2649691,"Health : Diseases, Disorders, and Disciplines , ",91146.0,86.09,0,808816,MA,1624689
60,75.0,17011,Dreamchaser PMU Rescue & Rehabilitation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16105,Falcon,nan,,,CEO,73172.0,74.5,288013,275659,"Animals : Animal Rights, Welfare, and Services ",33691.0,74.74,0,1293096,MO,1637601
61,100.0,211917,Doorways for Women and Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8581,Arlington,nan,126273.0,3.16,Executive Director,1524752.0,87.72,679666,6296186,Human Services : Social Services ,12960.0,91.31,0,3099925,VA,5503300
62,97.0,601005,DOROT,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8104,New York,nan,266663.0,3.76,Executive Director,-767964.0,94.85,642278,24627928,Human Services : Social Services ,347371.0,95.78,0,5840860,NY,5968808
63,97.0,2197589,Drug Policy Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6230,New York,nan,294181.0,2.15,Executive Director,-3250274.0,74.88,1461581,2609490,Research and Public Policy : Social and Public Policy Research ,46428.0,82.11,0,10021348,NY,9796994
64,89.0,517141,The Doseum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13320,San Antonio,nan,135000.0,2.51,Executive Director,1901523.0,99.03,388725,51239590,"Arts, Culture, Humanities : Museums ",380514.0,92.19,0,4466430,TX,4306225
65,96.0,865054,DonorsChoose.org,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9284,New York,nan,323551.0,0.32,Chief Executive Officer,6996938.0,97.5,4200623,41187281,Education : Youth Education Programs and Services ,116461.0,96.66,0,95527760,NY,107473914
66,96.0,186936,The Doorways,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10285,Richmond ,nan,160419.0,6.53,"President, CEO",425866.0,97.5,101670,11806753,Health : Patient and Family Support ,956728.0,96.66,0,2165998,VA,1923742
67,81.0,245384,Donald W. Reynolds Boys & Girls Club,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9653,Fayetteville,nan,,,nan,2133826.0,92.12,92857,13579831,"Human Services : Youth Development, Shelter, and Crisis Services ",95733.0,85.45,0,1823756,AR,3249573
68,82.0,146547,Domestic Violence Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15259,Canton,nan,59152.0,3.15,"Executive Director, CEO",-231661.0,97.5,92069,2069986,Human Services : Social Services ,42463.0,87.14,0,1635867,OH,1267216
69,92.0,630488,"Domestic Violence Intervention Services, Inc. (DVIS)",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13958,Tulsa,nan,115781.0,2.05,Executive Director,-684798.0,95.72,362732,18869218,Human Services : Social Services ,340245.0,93.58,0,4631486,OK,4358746
70,100.0,213616,Domestic Violence Solutions for Santa Barbara County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6561,Santa Barbara,nan,125781.0,6.9,Executive Director,-343184.0,79.61,174049,3274897,Human Services : Social Services ,12585.0,85.58,0,1432659,CA,1393851
71,86.0,206192,Domestic Violence Center of Chester County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13827,West Chester,nan,110000.0,6.58,CEO,37029.0,91.87,132052,2865283,Human Services : Social Services ,18595.0,88.55,0,1333107,PA,1668817
72,92.0,193701,"Domestic Abuse Project of Delaware County, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16392,Media,nan,,,Executive Director,123590.0,87.56,66172,1079155,Human Services : Social Services ,123072.0,89.54,0,1369670,PA,1630061
73,93.0,281430,Domestic Abuse Intervention Services,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14291,Madison,nan,87248.0,2.74,Executive Director,-903904.0,90.87,330147,6585456,Human Services : Social Services ,-4075.0,91.86,0,2564664,WI,2276412
74,78.0,360621,Dollywood Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13711,Pigeon Force,nan,249962.0,9.04,President,8131517.0,96.67,113848,16323229,Education : Youth Education Programs and Services ,548864.0,84.26,0,2289217,TN,10346339
75,89.0,234021,Domestic Abuse Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15314,Minneapolis,nan,92579.0,5.81,Executive Director,301797.0,79.6,146571,717082,Human Services : Social Services ,-18893.0,83.61,0,1210182,MN,1842076
76,100.0,246172,Dogs for Better Lives,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781,Central Point,nan,123871.0,4.22,President/CEO,-1597228.0,91.21,273098,17135675,"Animals : Animal Rights, Welfare, and Services ",-417195.0,93.78,0,2410682,OR,1747792
77,100.0,882257,Dollar Energy Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7957,Pittsburgh,nan,196866.0,1.11,Chief Executive Officer,-1235391.0,89.67,388262,11389269,Human Services : Social Services ,38461.0,92.69,0,16322374,PA,6288924
78,77.0,1550307,Doernbecher Children's Hospital Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6416,Portland,nan,,,nan,4745056.0,83.2,1750072,62800576,"Health : Treatment and Prevention Services , ",1285208.0,79.85,0,9985811,OR,16394767
79,96.0,7881815,Doheny Eye Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5851,Los Angeles,nan,508387.0,2.3,Executive Director,135160.0,75.35,1156043,73488393,Health : Medical Research ,4876609.0,82.34,0,12990486,CA,5004366
80,97.0,5558418,"Doctors Without Borders, USA",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3628,New York,nan,200805.0,0.05,Executive Director,10898493.0,97.5,32351142,287228413,"International : Development and Relief Services , ",2582377.0,97.23,0,325591291,NY,357438744
81,92.0,127963,Doctors Care,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13211,Littleton,nan,121039.0,5.68,Executive Director,435057.0,99.57,73496,5146089,Health : Treatment and Prevention Services ,59121.0,94.33,0,1928532,CO,1410357
82,96.0,901523,Do Something,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9374,New York,nan,197812.0,1.98,Chief Executive Officer,-1094986.0,97.5,321439,12137900,"Human Services : Youth Development, Shelter, and Crisis Services ",13034.0,96.66,0,8732903,NY,6696349
83,85.0,2790569,DKT International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3627,Washington,nan,374511.0,0.22,President & CEO,64799405.0,97.5,458429,216603841,International : Development and Relief Services ,13814501.0,89.24,0,164015177,DC,97787203
84,78.0,603059,The Dixon Gallery and Gardens,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9632,Memphis,nan,219525.0,4.76,Executive Director,-295691.0,91.91,103496,5005754,"Arts, Culture, Humanities : Museums ",181398.0,83.42,0,3900838,TN,4015692
85,85.0,863795,District of Columbia College Access Program,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5467,Washington,nan,342868.0,4.54,"President, CEO",651156.0,88.77,582034,73740982,Education : Scholarship and Financial Support ,6181358.0,86.75,0,6105784,DC,2021411
86,93.0,713449,Discovery World,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15768,Milwaukee,nan,182065.0,1.77,CEO and President,-2667095.0,85.79,304184,37073513,"Arts, Culture, Humanities : Museums ",295158.0,88.79,0,9229297,WI,4120552
87,67.0,171527,Diskin Orphan Fund of Israel,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10348,Brooklyn,nan,60000.0,3.58,Executive Secretary,964783.0,89.95,165994,1528312,"Human Services : Youth Development, Shelter, and Crisis Services , ",0.0,75.6,0,1338356,NY,2640660
88,92.0,1885310,Discovery Place,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5500,Charlotte,nan,234266.0,1.5,President & CEO,-3996610.0,97.5,340744,106050901,"Arts, Culture, Humanities : Museums ",1248581.0,94.07,0,13388504,NC,2329222
89,77.0,102567,Discovery Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9757,Seattle,nan,144200.0,3.4,President,1693215.0,92.71,340504,4940044,Research and Public Policy : Social and Public Policy Research ,61097.0,82.93,0,3792540,WA,5773002
90,89.0,484442,Discovery Green Conservancy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14701,Houston,nan,204685.0,3.31,President,-782355.0,96.0,405506,39853956,"Environment : Botanical Gardens, Parks, and Nature Centers ",-32372.0,91.72,0,5293664,TX,3173699
91,96.0,135469,The Discovery Museums,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17310,Acton,nan,166193.0,9.99,Chief Executive Officer,1351434.0,88.57,219414,7857273,"Arts, Culture, Humanities : Museums ",125786.0,91.43,0,1307953,MA,1919521
92,66.0,323958,Discovery Eye Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6476,Los Angeles,nan,,,"President, Medical Director",-464025.0,73.75,56556,744604,Health : Medical Research ,75133.0,69.62,0,517024,CA,358380
93,96.0,1617200,DISCOVERY Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12244,Las Vegas,nan,159689.0,2.69,Trustee,-1804631.0,86.26,204866,47244316,"Arts, Culture, Humanities : Museums ",436819.0,89.88,0,4100910,NV,1798271
94,89.0,126259,Discovery Center of Springfield,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12042,Spring,nan,77500.0,6.09,Executive Director,-288198.0,82.5,88066,4144829,"Arts, Culture, Humanities : Museums ",58397.0,85.38,0,1056727,MO,469066
95,100.0,355180,DiscipleMakers,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6879,State College,nan,54000.0,1.37,President,144888.0,89.28,327414,1469574,Religion : Religious Activities ,2011.0,92.41,0,3233039,PA,3913760
96,66.0,42704,Disabled Police and Sheriff's Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12035,Ste. Genevieve,nan,,,nan,11536.0,0.0,1401140,4472,Human Services : Multipurpose Human Service Organizations ,10.0,25.31,0,85839,MO,1541209
97,96.0,2000823,Disabled Veterans National Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13131,Lanham,nan,144616.0,0.49,Chief Executive Officer,-1560501.0,0.0,19776427,-3967104,Human Services : Social Services ,275135.0,29.23,0,7523867,MD,27465481
98,93.0,251918,DIFFA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7766,New York,nan,139098.0,5.51,Executive Director,62949.0,68.82,780133,904941,"Health : Diseases, Disorders, and Disciplines ",-226019.0,77.4,0,1488252,NY,2764090
99,89.0,140337,The Dictionary Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12371,Charleston,nan,64395.0,1.36,Executive Director,59470.0,78.24,41440,619363,Education : Youth Education Programs and Services ,3495.0,82.75,0,4541999,SC,4779751
100,100.0,99755,Diabetes Youth Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10892,Concord,nan,124604.0,5.18,Executive Director,-113202.0,85.04,340014,4903689,Health : Patient and Family Support ,271556.0,89.42,0,1963217,CA,1493372
101,100.0,233883,Dining for Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16725,Greenville,nan,100400.0,7.05,President,125826.0,80.55,95008,366765,"International : Development and Relief Services , ",0.0,86.24,0,1094824,SC,1537144
102,100.0,895599,Diabetes Research Institute Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3624,Hollywood,nan,343279.0,3.14,"President, CEO",12780.0,81.02,1725721,27479357,"Health : Medical Research , ",1923544.0,86.57,0,8293772,FL,9004328
103,78.0,120561,Diabetes Research and Wellness Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5460,Washington,nan,97145.0,0.82,Executive Director,-379380.0,70.49,1075573,323742,International : Development and Relief Services ,30487.0,73.97,0,10527165,DC,8142355
