,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
6809,96.0,265767,The Outreach Program,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13126,Union,nan,150000.0,4.48,President,195430.0,78.69,116107,3050131,International : Humanitarian Relief Supplies ,139021.0,84.66,0,2962218,IA,3400501
6810,100.0,63849,Organization for Autism Research,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11285,Arlington,nan,100000.0,8.69,Executive Director,376473.0,93.59,133517,1814534,"Health : Diseases, Disorders, and Disciplines ",-102299.0,95.46,0,952398,VA,1626658
6811,81.0,438518,Organic Consumers Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10156,Finland,nan,112115.0,2.93,National Executive Director,-18818.0,85.75,297972,1165795,Environment : Environmental Protection and Conservation ,5481.0,83.2,0,3080098,MN,3792289
6812,74.0,112335,Organ Donation And Transplant Association Of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13200,North Palm Beach,nan,,,Executive Director,348943.0,0.0,81572,17496,Health : Medical Research ,0.0,26.93,0,74539,FL,617389
6813,92.0,2652645,Oregon Symphony,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6412,Portland,nan,243285.0,1.47,President/CEO,-273093.0,81.88,830530,10884352,"Arts, Culture, Humanities : Performing Arts ",289975.0,85.99,0,13010380,OR,7867805
6814,96.0,4830301,Oregon Public Broadcasting,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4279,Portland,nan,401267.0,1.31,"President, CEO",2565532.0,81.67,5690309,61249304,"Arts, Culture, Humanities : Public Broadcasting and Media ",1297038.0,86.73,0,20109888,OR,29972988
6815,89.0,9254340,Oregon Shakespeare Festival,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4281,Ashland,nan,235211.0,0.61,Executive Director,530022.0,84.14,1901778,37071412,"Arts, Culture, Humanities : Performing Arts ",1130583.0,86.35,0,27217494,OR,14455361
6816,97.0,485629,Oregon Zoo Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5783,Portland,nan,80950.0,1.49,Interim Director,1182446.0,78.91,1023511,12138258,"Animals : Zoos and Aquariums , ",198474.0,84.93,0,3904354,OR,6397466
6817,96.0,3195146,Oregon Museum of Science and Industry,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7602,Portland,nan,249322.0,1.3,President,349954.0,78.21,1069030,43455370,"Arts, Culture, Humanities : Museums ",1988778.0,84.33,0,14895283,OR,6345673
6818,100.0,51174,Oregon Lions Sight & Hearing Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7915,Portland,nan,119963.0,7.79,Executive Director,-589635.0,97.5,123250,6837190,Human Services : Social Services ,251458.0,98.23,0,1363602,OR,588646
6819,92.0,1206210,Oregon Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7411,Portland,nan,300591.0,3.7,Executive Director,179512.0,92.31,824287,27609176,"Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ",628450.0,92.15,0,6075190,OR,7417360
6820,100.0,1046532,Oregon Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4278,Portland,nan,250469.0,1.75,Chief Executive Officer,1148013.0,90.01,2106980,44107730,"Animals : Animal Rights, Welfare, and Services ",961692.0,92.93,0,11110746,OR,11554452
6821,89.0,8475562,Oregon Health & Science University Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8566,Portland,nan,576026.0,0.43,President,446377525.0,99.97,10574438,1283306223,"Education : Scholarship and Financial Support , ",22578115.0,92.22,0,112274705,OR,548605923
6822,93.0,129142,Oregon Natural Desert Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15981,Bend,nan,115724.0,7.54,Executive Director,4718.0,98.02,106108,2071970,Environment : Environmental Protection and Conservation ,80382.0,94.85,0,1299014,OR,1336210
6823,96.0,1353917,Oregon Food Bank,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4277,Portland,nan,153119.0,0.22,Chief Executive Officer,-2326606.0,91.13,3112793,36133387,"Human Services : Food Banks, Food Pantries, and Food Distribution ",102760.0,93.11,0,62573096,OR,61042366
6824,96.0,140911,Oregon Environmental Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7414,Portland,nan,117900.0,4.16,Executive Director,44373.0,97.5,205184,2444347,Environment : Environmental Protection and Conservation ,9968.0,96.66,0,2487698,OR,2826010
6825,94.0,47183,Oregon Energy Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8314,Portland,nan,,,Executive Director,-87791.0,90.0,149634,1577999,Human Services : Social Services ,28309.0,91.75,0,1014293,OR,1095010
6826,96.0,9321814,The Oregon Community Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4276,Portland,nan,348136.0,0.31,CEO,-21398968.0,99.23,1982009,1558727024,Community Development : Community Foundations ,20877022.0,97.11,0,99896038,OR,68470235
6827,81.0,521781,Oregon Ballet Theatre,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7417,Portland,nan,,,nan,3855772.0,91.78,334374,3922231,"Arts, Culture, Humanities : Performing Arts ",4416381.0,85.36,0,5479813,OR,1977517
6828,89.0,2168000,Ordway Center for the Performing Arts,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4275,St. Paul,nan,,,"President, CEO",-1585700.0,94.54,1001800,61728700,"Arts, Culture, Humanities : Performing Arts ",1176900.0,91.31,0,15433800,MN,5830700
6829,89.0,120442,Orangutan Foundation International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6474,Los Angeles,nan,53000.0,3.76,President,112803.0,95.97,38931,2997265,Animals : Wildlife Conservation ,7314.0,91.71,0,1250010,CA,1514872
6830,96.0,6145212,ORBIS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4368,New York,nan,319676.0,0.15,President & CEO,5386975.0,95.0,8696304,58185735,International : Development and Relief Services ,2535075.0,95.47,0,197101234,NY,214794650
6831,92.0,564332,Orchestra of St. Luke's,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7070,New York,nan,33916.0,0.43,President and Executive Director,-1282561.0,85.26,485820,17895713,"Arts, Culture, Humanities : Performing Arts ",786134.0,88.14,0,6793662,NY,3419011
6832,96.0,1478621,Orange County United Way,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4649,Irvine,nan,309302.0,1.64,"President, CEO",-19201.0,82.45,2064717,20695411,"Community Development : United Ways , ",557228.0,87.27,191772,15278238,CA,18245147
6833,82.0,761611,Oral Roberts Evangelistic Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4272,Tulsa,nan,329652.0,3.85,Chief Executive Officer,-1457069.0,70.0,67064,-1510416,Religion : Religious Media and Broadcasting ,35309.0,75.26,0,7732841,OK,7010450
