accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
81.00,"$507,514",Jobs For America's Graduates,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10610, ' Alexandria,,None reported\r\n                 ,--\r\n                 ,"President, CEO","$956,083",93.71,"$42,385","$4,551,138",Education : Adult Education Programs and Services ,"$-88,524",85.84,$0,"$2,952,000",VA,"$3,206,926"
97.00,"$136,225",Keshet,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13414, '\r\n\t\t\tJamaica Plain,,"$153,462",8.48%,Executive Director,"$1,255,131",83.07,"$347,641","$1,686,101",Human and Civil Rights : Advocacy and Education ,"$129,348",87.84,$0,"$1,325,463",MA,"$2,877,950"
100.00,"$189,052",Jewish World Watch,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13142, '\r\n\t\t\tEncino,,"$32,846",2.80%,Executive Director,"$-42,526",84.05,"$67,948","$1,406,841","International : International Peace, Security, and Affairs ","$2,701",88.72,$0,"$913,954",CA,"$1,125,727"
100.00,"$358,202",The Joe Torre Safe At Home Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10943, ' New York,,"$125,000",4.94%,Executive Director,"$20,318",76.40,"$523,639","$2,605,289",Human Services : Social Services ,"$-492,243",83.31,$0,"$1,647,772",NY,"$3,042,174"
96.00,"$3,269,227",Jewish Voice Ministries International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7371, '\r\n\t\t\tPhoenix,,"$166,497",0.58%,President & CEO,"$3,248,918",88.21,"$4,836,730","$52,045,740",Religion : Religious Media and Broadcasting ,"$2,622,809",91.19,$0,"$20,183,138",AZ,"$28,915,204"
89.00,"$2,481,191",Jewish Vocational Service of Los Angeles,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9800, ' Los Angeles,,"$246,295",1.37%,CEO,"$1,585,893",82.93,"$679,747","$10,719,354",Human Services : Social Services ,"$982,935",85.64,$0,"$14,697,472",CA,"$18,330,182"
100.00,"$9,982,638",Jewish United Fund of Metropolitan Chicago,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3949, ' Chicago,,"$446,641",0.43%,President,"$-7,657,098",80.95,"$7,204,834","$74,392,628","Community Development : Jewish Federations , ","$2,023,707",86.52,$0,"$86,075,435",IL,"$85,263,286"
93.00,"$2,233,332",Jewish Social Service Agency,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6254, '\r\n\t\t\tRockville,,"$302,608",1.30%,Chief Executive Officer,"$-2,172,046",97.50,"$576,117","$48,537,490",Human Services : Children's and Family Services ,"$1,167,221",94.74,$0,"$20,410,295",MD,"$7,836,286"
93.00,"$197,390",Keys for Kids Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12800, '\r\n\t\t\tGrand Rapids,,"$24,197",2.42%,Executive Director,"$32,047",74.82,"$157,101","$812,533",Religion : Religious Media and Broadcasting ,"$16,342",81.51,$0,"$641,820",MI,"$975,293"
78.00,"$675,933",Jewish Senior Life Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17251, '\r\n\t\t\tRochester,,None reported\r\n                 ,--\r\n                 ,,"$-783,625",79.48,"$896,124","$46,765,110","Human Services : Social Services , ","$804,097",78.72,$0,"$2,354,202",NY,"$2,338,537"
