accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
89.00,"$164,590",9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961, ' Milwaukee,,"$53,463",3.11%,Executive Director,"$349,718",90.56,"$111,522","$1,350,382",Human and Civil Rights : Advocacy and Education ,"$49,634",89.75,$0,"$1,440,463",WI,"$1,999,023"
86.00,"$1,001,560",'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012, '\r\n\t\t\tHilo,,"$73,500",1.47%,Executive Director,"$1,175,965",85.92,"$54,613","$14,773,920",Education : Early Childhood Programs and Services ,"$382,540",85.95,$0,"$3,912,270",HI,"$3,339,358"
85.00,"$93,957",AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185, ' New York,,"$85,000",0.99%,Executive Director,"$-461,502",77.65,"$248,833","$-770,370",International : Development and Relief Services ,$0,80.96,$0,"$8,157,850",NY,"$8,039,138"
86.00,"$346,867",Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169, '\r\n\t\t\tBrooklyn,,"$61,220",0.78%,Acting Executive Director,"$1,872,733",97.50,"$384,550","$11,460,087","Education : Scholarship and Financial Support , ","$-81,726",89.94,$0,"$7,018,262",NY,"$9,704,138"
97.00,"$135,195",Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080, ' Temecula,,"$74,244",5.41%,President,"$-103,940",87.08,"$87,436","$723,772",Religion : Religious Activities ,"$32,436",90.62,$0,"$1,148,407",CA,"$1,234,662"
100.00,"$505,751",Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436, '\r\n\t\t\tSan Francisco,,"$312,498",2.85%,President & Founder,"$1,931,497",93.14,"$377,933","$40,621,685",Human and Civil Rights : Advocacy and Education ,"$320,916",95.14,$0,"$10,059,539",CA,"$12,355,178"
89.00,"$103,173",Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467, '\r\n\t\t\tStone Mountain,,"$85,665",7.27%,Executive Director,"$-126,216",99.94,"$49,542","$3,579,208",Community Development : Housing and Neighborhood Development ,"$-13,057",92.22,"$33,556","$1,024,283",GA,"$536,485"
100.00,"$663,845",Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974, '\r\n\t\t\tGaithersburg,,"$154,999",6.01%,Executive Director,"$-294,094",79.94,"$218,404","$7,474,607",Environment : Environmental Protection and Conservation ,"$101,537",85.81,$0,"$1,695,556",MD,"$2,170,503"
100.00,"$77,155","It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793, ' Atlanta,,"$110,110",7.36%,Executive Director,"$107,849",89.98,"$76,939","$808,446","Health : Medical Research , ","$10,299",92.91,$0,"$1,340,579",GA,"$1,473,462"
89.00,"$200,643",Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427, '\r\n\t\t\tBellevue,,"$98,048",5.89%,Executive Director,"$-59,227",78.66,"$238,249","$1,173,256","Education : Scholarship and Financial Support , ","$29,857",83.02,$0,"$1,225,020",WA,"$1,574,828"
93.00,"$611,779",Hydrocephalus Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367, ' Bethesda,,"$200,000",5.02%,CEO,"$714,966",84.82,"$562,998","$3,645,570","Health : Diseases, Disorders, and Disciplines ","$47,177",88.17,$0,"$2,805,884",MD,"$4,595,007"
85.00,"$177,985",Hyde Park Art Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747, '\r\n\t\t\tChicago,,None reported\r\n                 ,--\r\n                 ,,"$-91,315",90.27,"$255,073","$6,368,885","Arts, Culture, Humanities : Museums ","$3,505",87.35,$0,"$1,728,407",IL,"$1,287,542"
89.00,"$359,125",The Hyde Collection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456, '\r\n\t\t\tGlens Falls,,"$73,138",4.14%,Director,"$2,131,553",81.78,"$184,263","$24,114,195","Arts, Culture, Humanities : Museums ","$718,853",84.95,$0,"$1,222,660",NY,"$3,051,056"
89.00,"$168,553",Huntsville Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797, ' Huntsville,,"$82,500",4.51%,"President, CEO","$-3,753",75.39,"$147,873","$131,009","Arts, Culture, Humanities : Performing Arts ","$30,692",80.93,$0,"$1,512,485",AL,"$1,044,160"
100.00,"$940,855",Huntington's Disease Society of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075, ' New York,,"$264,026",3.28%,Chief Executive Officer,"$537,310",87.34,"$853,135","$4,553,274","Health : Diseases, Disorders, and Disciplines ","$16,889",91.04,$0,"$6,247,620",NY,"$8,562,031"
100.00,"$119,743",Huron River Watershed Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855, ' Ann Arbor,,"$104,945",6.73%,Executive Director,"$29,518",91.90,"$136,818","$1,028,525",Environment : Environmental Protection and Conservation ,"$4,345",94.27,$0,"$1,302,535",MI,"$1,063,890"
89.00,"$83,378",Byrnes Health Education Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426, '\r\n\t\t\tYork,,"$89,280",7.86%,"President, CEO","$-22,834",83.80,"$162,845","$5,209,352",Health : Treatment and Prevention Services ,"$140,551",86.15,$0,"$888,514",PA,"$809,534"
89.00,"$548,733",Huntsville Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198, '\r\n\t\t\tHuntsville,,"$151,680",4.51%,CEO,"$7,440,415",90.95,"$98,906","$18,192,084","Environment : Botanical Gardens, Parks, and Nature Centers ","$248,250",89.92,$0,"$2,712,221",AL,"$10,103,153"
81.00,"$204,621",Huntsville Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766, '\r\n\t\t\tHuntsville,,"$150,988",6.53%,Executive Director,"$66,429",73.91,"$344,880","$97,615","Arts, Culture, Humanities : Museums ","$26,406",77.17,$0,"$1,760,358",AL,"$1,985,118"
93.00,"$18,026,507",Cystic Fibrosis Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142, ' Bethesda,,"$496,970",0.19%,"President, CEO","$-44,527,665",97.35,"$18,419,757","$3,679,424,528","Health : Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations:","$89,274,989",94.70,$0,"$221,903,338",MD,"$122,210,533"
85.00,"$68,569",Curious Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445, '\r\n\t\t\tDenver,,None reported\r\n                 ,--\r\n                 ,,"$74,817",74.60,"$134,783","$584,693","Arts, Culture, Humanities : Performing Arts ","$-11,920",79.14,$0,"$1,000,940",CO,"$861,035"
100.00,"$336,234",Cure SMA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524, '\r\n\t\t\tElk Grove Village,,"$182,099",2.40%,President,"$307,259",78.20,"$1,009,256","$2,695,113","Health : Diseases, Disorders, and Disciplines ","$673,000",84.58,$0,"$6,220,527",IL,"$5,818,435"
96.00,"$385,923",CurePSP,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827, ' New York,,"$193,846",6.14%,President,"$71,600",86.36,"$522,075","$2,226,006",Health : Medical Research ,"$2,965",89.94,$0,"$2,244,223",NY,"$3,119,335"
100.00,"$838,660",CURE International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545, '\r\n\t\t\tNew Cumberland,,"$168,480",0.24%,"President, CEO","$-14,162,177",92.50,"$3,327,969","$102,655,210",International : Development and Relief Services ,"$707,769",94.69,$0,"$65,695,537",PA,"$23,035,192"
82.00,"$416,919",Dégagé Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604, '\r\n\t\t\tGrand Rapids,,"$72,079",3.89%,Executive Director,"$-27,245",89.50,"$63,375","$2,144,882",Human Services : Homeless Services ,"$-24,976",85.26,$0,"$1,371,628",MI,"$1,737,373"
100.00,"$152,412",Cystinosis Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069, '\r\n\t\t\tIrvine,,,--\r\n                 ,Chair,"$1,820,010",86.88,"$600,799","$4,522,420","Health : Medical Research , ","$38,599",90.72,$0,"$2,284,337",CA,"$4,818,959"
100.00,"$124,005",dZi Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599, ' Ridgway,,"$77,762",6.09%,President,"$166,629",94.64,"$164,621","$2,000,106",International : Development and Relief Services ,"$-10,572",96.20,$0,"$987,277",CO,"$1,453,104"
96.00,"$77,735",Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965, ' New York,,"$153,012",9.46%,Executive Director,"$-8,398",94.71,"$169,908","$2,775,860","Health : Diseases, Disorders, and Disciplines ","$857,985",95.31,$0,"$1,368,684",NY,"$749,944"
100.00,"$552,261",CuriOdyssey,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769, '\r\n\t\t\tSan Mateo,,"$147,578",3.37%,Executive Director,"$2,682,302",81.16,"$1,052,723","$15,706,277","Arts, Culture, Humanities : Museums ","$603,495",86.67,$0,"$2,769,811",CA,"$5,578,134"
100.00,"$163,132",Dystonia Medical Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640, ' Chicago,,"$144,894",5.86%,Executive Director,"$2,655,471",83.97,"$268,624","$4,434,900",Health : Medical Research ,"$15,833",88.66,$0,"$2,038,421",IL,"$5,109,815"
89.00,"$201,970",24 Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235, ' Charlotte,,"$69,731",2.25%,Executive Director,"$-928,932",80.00,"$144,269","$-427,225",Health : Medical Research ,"$7,134",83.85,$0,"$2,741,091",NC,"$1,999,290"
100.00,"$1,418,750",Dumb Friends League,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610, '\r\n\t\t\tDenver,,"$302,320",1.64%,President,"$-1,551,599",89.94,"$2,463,940","$70,125,179","Animals : Animal Rights, Welfare, and Services ","$2,788,674",92.88,$0,"$14,526,815",CO,"$12,195,279"
100.00,"$1,337,698",Durham Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985, '\r\n\t\t\tDurham,,"$148,024",0.71%,Chief Executive Officer,"$-8,027,987",100.00,"$574,279","$15,582,886",Human Services : Homeless Services ,"$4,340,235",100.00,$0,"$18,843,152",NC,"$7,897,648"
93.00,"$462,033",Dutchess County SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764, '\r\n\t\t\tHyde Park,,"$41,686",1.90%,Former Executive Director,"$-673,663",86.19,"$113,929","$6,009,181","Animals : Animal Rights, Welfare, and Services ","$258,802",89.05,$0,"$1,609,406",NY,"$748,227"
100.00,"$102,716",DuPage PADS,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278, '\r\n\t\t\tWheaton,,"$131,808",3.51%,Executive Director,"$390,812",82.83,"$558,415","$2,600,177",Human Services : Homeless Services ,"$-57,347",87.85,$0,"$3,085,564",IL,"$4,045,611"
78.00,"$267,388",DuPage Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735, '\r\n\t\t\tNaperville,,"$120,672",2.97%,"President, CEO","$353,973",81.13,"$330,570","$3,602,916","Arts, Culture, Humanities : Museums ","$1,325,508",79.50,$0,"$3,463,609",IL,"$1,303,678"
96.00,"$6,146,668",Ducks Unlimited,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631, '\r\n\t\t\tMemphis,,"$511,842",0.25%,Chief Executive Officer,"$28,422,623",84.07,"$37,813,823","$195,923,938","Animals : Wildlife Conservation ,This rating represents consolidated financial data for these organizations:","$24,159,550",88.38,$0,"$159,565,880",TN,"$207,789,444"
89.00,"$488,815",Dubuque County Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812, '\r\n\t\t\tDubuque,,"$110,200",1.57%,President/CEO,"$-2,299,475",93.25,"$228,191","$41,573,178","Arts, Culture, Humanities : Museums ","$760,401",90.87,$0,"$6,284,975",IA,"$1,447,829"
100.00,"$274,079",4 Paws for Ability ,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055, '\r\n\t\t\tXenia,,"$103,803",3.40%,Executive Director,"$621,712",92.50,"$163,774","$3,500,111",Human Services : Social Services ,"$215,424",94.69,$0,"$2,610,426",OH,"$976,681"
82.00,"$112,524",Dubuque Regional Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181, '\r\n\t\t\tDubuque,,"$80,000",7.33%,"President, CEO","$-432,203",93.05,"$102,647","$5,497,007","Animals : Animal Rights, Welfare, and Services ","$129,752",86.35,$0,"$875,329",IA,"$200,955"
96.00,"$177,504",Drugs for Neglected Diseases Initiative North America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059, ' New York,,"$154,141",5.16%,Executive Director,"$232,256",79.98,"$394,582","$566,614",Health : Medical Research ,$241,85.56,$0,"$2,414,640",NY,"$3,218,741"
82.00,"$740,208",Drisha Institute for Jewish Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9364, ' New York,,"$150,759",7.46%,Dean,"$-835,454",69.28,"$55,864","$7,018,400",Religion : Religious Activities ,"$388,176",74.82,$0,"$1,223,452",NY,"$700,617"
96.00,"$355,811",Dress for Success Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942, ' New York,,,--\r\n                 ,Chief Executive Officer,"$332,576",90.00,"$962,492","$5,107,651",Human Services : Social Services ,"$2,940,350",92.38,"$2,254,689","$21,828,611",NY,"$20,539,140"
93.00,"$167,750",Dreams Come True,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9624, '\r\n\t\t\tJacksonville,,"$108,720",4.77%,Executive Director,"$108,718",99.85,"$136,823","$4,620,438",Health : Patient and Family Support ,"$559,187",95.04,$0,"$1,971,526",FL,"$1,825,630"
89.00,"$60,495",Dream Factory,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9630, ' Louisville,,,--\r\n                 ,Chief Executive Officer,"$33,649",96.22,"$29,852","$3,505,329",Health : Patient and Family Support ,"$-5,029",91.77,"$159,325","$2,181,218",KY,"$2,310,243"
85.00,"$476,124",The Drawing Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6729, '\r\n\t\t\tNew York,,"$175,000",7.88%,Executive Director,"$-281,839",83.31,"$333,896","$8,918,807","Arts, Culture, Humanities : Museums ","$15,173",84.13,$0,"$1,409,669",NY,"$1,870,018"
89.00,"$100,694",The Drake House,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13324, '\r\n\t\t\tRoswell,,"$78,750",8.98%,Executive Director,"$214,028",95.35,"$70,581","$2,517,282","Human Services : Youth Development, Shelter, and Crisis Services ","$149,850",91.55,$0,"$704,707",GA,"$928,160"
100.00,"$88,841",Downtown Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9643, '\r\n\t\t\tHuntsville,,"$101,450",1.11%,"President, CEO","$1,785,719",85.00,"$1,002,981","$7,351,178",Human Services : Homeless Services ,$0,89.39,$0,"$8,005,282",AL,"$10,866,393"
93.00,"$368,708",Dream Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9892, ' Santa Barbara,,"$162,176",3.61%,Executive Director,"$-653,513",97.07,"$379,683","$4,205,692",Health : Patient and Family Support ,"$-129,438",94.63,$0,"$3,737,808",CA,"$3,962,124"
96.00,"$786,239",Downtown Women's Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9461, '\r\n\t\t\tLos Angeles,,"$146,314",1.98%,Chief Executive Officer,"$63,453",87.26,"$679,258","$17,685,957",Human Services : Homeless Services ,"$225,037",90.55,$0,"$5,906,129",CA,"$6,653,125"
96.00,"$168,761",Dress for Success Houston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9703, '\r\n\t\t\tHouston,,"$149,520",7.38%,President,"$328,637",90.60,"$235,553","$13,297,040",Human Services : Social Services ,"$203,944",92.77,$0,"$1,621,606",TX,"$2,150,613"
89.00,"$417,058",DreamYard Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12702, ' Bronx,,"$112,300",2.64%,Co-Director,"$348,133",91.11,"$290,265","$1,270,018",Education : Youth Education Programs and Services ,$5,89.99,$0,"$3,540,950",NY,"$3,544,959"
77.00,"$426,800",Downtown Cleveland Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9155, ' Cleveland,,"$248,020",3.88%,"President, CEO","$640,459",88.93,"$292,911","$2,673,256",Community Development : Housing and Neighborhood Development ,"$57,070",81.95,$0,"$5,668,986",OH,"$6,395,443"
89.00,"$323,355",Downtown Community Television Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9361, '\r\n\t\t\tNew York,,"$86,430",2.20%,"Co-Executive Director, President","$57,141",97.47,"$162,127","$3,557,955","Arts, Culture, Humanities : Performing Arts ","$8,875",92.01,$0,"$3,427,753",NY,"$931,376"
96.00,"$1,139,640",DoveLewis Emergency Animal Hospital,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12512, '\r\n\t\t\tPortland,,"$246,301",2.14%,Chief Executive Officer,"$634,721",85.00,"$416,782","$7,032,558","Animals : Animal Rights, Welfare, and Services ","$62,906",89.02,$0,"$9,935,409",OR,"$1,763,793"
82.00,"$363,126",Downline Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14124, ' Memphis,,"$25,749",1.37%,Executive Director,"$-227,165",84.35,"$90,845","$1,098,466",Religion : Religious Activities ,"$99,727",83.13,$0,"$1,417,719",TN,"$1,251,931"
93.00,"$221,067",The Dougy Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13186, '\r\n\t\t\tPortland,,"$78,395",4.50%,Executive Director,"$-255,466",77.32,"$314,057","$5,304,123",Human Services : Children's and Family Services ,"$497,719",83.21,$0,"$1,204,358",OR,"$923,189"
100.00,"$393,930",Double H Ranch,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10568, '\r\n\t\t\tLake Luzerne,,"$201,030",4.95%,"CEO, Executive Director","$2,797,545",81.29,"$733,908","$17,319,878",Health : Patient and Family Support ,"$474,123",86.77,$0,"$2,926,279",NY,"$6,377,539"
96.00,"$217,621",Dr. Susan Love Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11077, ' Encino,,"$210,000",7.59%,President,"$86,969",89.40,"$273,590","$2,963,707",Health : Medical Research ,"$-168,319",91.98,$0,"$2,272,183",CA,"$2,967,182"
100.00,"$133,693",Doug Flutie Jr. Foundation For Autism,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8742, '\r\n\t\t\tFramingham,,"$60,000",5.64%,Executive Director,"$656,743",80.34,"$119,799","$2,649,691","Health : Diseases, Disorders, and Disciplines , ","$91,146",86.09,$0,"$808,816",MA,"$1,624,689"
75.00,"$17,011",Dreamchaser PMU Rescue & Rehabilitation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16105, '\r\n\t\t\tFalcon,,None reported\r\n                 ,--\r\n                 ,CEO,"$73,172",74.50,"$288,013","$275,659","Animals : Animal Rights, Welfare, and Services ","$33,691",74.74,$0,"$1,293,096",MO,"$1,637,601"
100.00,"$211,917",Doorways for Women and Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8581, '\r\n\t\t\tArlington,,"$126,273",3.16%,Executive Director,"$1,524,752",87.72,"$679,666","$6,296,186",Human Services : Social Services ,"$12,960",91.31,$0,"$3,099,925",VA,"$5,503,300"
97.00,"$601,005",DOROT,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8104, '\r\n\t\t\tNew York,,"$266,663",3.76%,Executive Director,"$-767,964",94.85,"$642,278","$24,627,928",Human Services : Social Services ,"$347,371",95.78,$0,"$5,840,860",NY,"$5,968,808"
97.00,"$2,197,589",Drug Policy Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6230, ' New York,,"$294,181",2.15%,Executive Director,"$-3,250,274",74.88,"$1,461,581","$2,609,490",Research and Public Policy : Social and Public Policy Research ,"$46,428",82.11,$0,"$10,021,348",NY,"$9,796,994"
89.00,"$517,141",The Doseum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13320, '\r\n\t\t\tSan Antonio,,"$135,000",2.51%,Executive Director,"$1,901,523",99.03,"$388,725","$51,239,590","Arts, Culture, Humanities : Museums ","$380,514",92.19,$0,"$4,466,430",TX,"$4,306,225"
96.00,"$865,054",DonorsChoose.org,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9284, ' New York,,"$323,551",0.32%,Chief Executive Officer,"$6,996,938",97.50,"$4,200,623","$41,187,281",Education : Youth Education Programs and Services ,"$116,461",96.66,$0,"$95,527,760",NY,"$107,473,914"
96.00,"$186,936",The Doorways,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10285, '\r\n\t\t\tRichmond ,,"$160,419",6.53%,"President, CEO","$425,866",97.50,"$101,670","$11,806,753",Health : Patient and Family Support ,"$956,728",96.66,$0,"$2,165,998",VA,"$1,923,742"
81.00,"$245,384",Donald W. Reynolds Boys & Girls Club,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9653, '\r\n\t\t\tFayetteville,,None reported\r\n                 ,--\r\n                 ,,"$2,133,826",92.12,"$92,857","$13,579,831","Human Services : Youth Development, Shelter, and Crisis Services ","$95,733",85.45,$0,"$1,823,756",AR,"$3,249,573"
82.00,"$146,547",Domestic Violence Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15259, '\r\n\t\t\tCanton,,"$59,152",3.15%,"Executive Director, CEO","$-231,661",97.50,"$92,069","$2,069,986",Human Services : Social Services ,"$42,463",87.14,$0,"$1,635,867",OH,"$1,267,216"
92.00,"$630,488","Domestic Violence Intervention Services, Inc. (DVIS)",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13958, '\r\n\t\t\tTulsa,,"$115,781",2.05%,Executive Director,"$-684,798",95.72,"$362,732","$18,869,218",Human Services : Social Services ,"$340,245",93.58,$0,"$4,631,486",OK,"$4,358,746"
100.00,"$213,616",Domestic Violence Solutions for Santa Barbara County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6561, '\r\n\t\t\tSanta Barbara,,"$125,781",6.90%,Executive Director,"$-343,184",79.61,"$174,049","$3,274,897",Human Services : Social Services ,"$12,585",85.58,$0,"$1,432,659",CA,"$1,393,851"
86.00,"$206,192",Domestic Violence Center of Chester County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13827, '\r\n\t\t\tWest Chester,,"$110,000",6.58%,CEO,"$37,029",91.87,"$132,052","$2,865,283",Human Services : Social Services ,"$18,595",88.55,$0,"$1,333,107",PA,"$1,668,817"
92.00,"$193,701","Domestic Abuse Project of Delaware County, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16392, '\r\n\t\t\tMedia,,,--\r\n                 ,Executive Director,"$123,590",87.56,"$66,172","$1,079,155",Human Services : Social Services ,"$123,072",89.54,$0,"$1,369,670",PA,"$1,630,061"
93.00,"$281,430",Domestic Abuse Intervention Services,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14291, '\r\n\t\t\tMadison,,"$87,248",2.74%,Executive Director,"$-903,904",90.87,"$330,147","$6,585,456",Human Services : Social Services ,"$-4,075",91.86,$0,"$2,564,664",WI,"$2,276,412"
78.00,"$360,621",Dollywood Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13711, '\r\n\t\t\tPigeon Force,,"$249,962",9.04%,President,"$8,131,517",96.67,"$113,848","$16,323,229",Education : Youth Education Programs and Services ,"$548,864",84.26,$0,"$2,289,217",TN,"$10,346,339"
89.00,"$234,021",Domestic Abuse Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15314, '\r\n\t\t\tMinneapolis,,"$92,579",5.81%,Executive Director,"$301,797",79.60,"$146,571","$717,082",Human Services : Social Services ,"$-18,893",83.61,$0,"$1,210,182",MN,"$1,842,076"
100.00,"$246,172",Dogs for Better Lives,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781, '\r\n\t\t\tCentral Point,,"$123,871",4.22%,President/CEO,"$-1,597,228",91.21,"$273,098","$17,135,675","Animals : Animal Rights, Welfare, and Services ","$-417,195",93.78,$0,"$2,410,682",OR,"$1,747,792"
100.00,"$882,257",Dollar Energy Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7957, '\r\n\t\t\tPittsburgh,,"$196,866",1.11%,Chief Executive Officer,"$-1,235,391",89.67,"$388,262","$11,389,269",Human Services : Social Services ,"$38,461",92.69,$0,"$16,322,374",PA,"$6,288,924"
77.00,"$1,550,307",Doernbecher Children's Hospital Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6416, ' Portland,,None reported\r\n                 ,--\r\n                 ,,"$4,745,056",83.20,"$1,750,072","$62,800,576","Health : Treatment and Prevention Services , ","$1,285,208",79.85,$0,"$9,985,811",OR,"$16,394,767"
96.00,"$7,881,815",Doheny Eye Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5851, '\r\n\t\t\tLos Angeles,,"$508,387",2.30%,Executive Director,"$135,160",75.35,"$1,156,043","$73,488,393",Health : Medical Research ,"$4,876,609",82.34,$0,"$12,990,486",CA,"$5,004,366"
97.00,"$5,558,418","Doctors Without Borders, USA",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3628, ' New York,,"$200,805",0.05%,Executive Director,"$10,898,493",97.50,"$32,351,142","$287,228,413","International : Development and Relief Services , ","$2,582,377",97.23,$0,"$325,591,291",NY,"$357,438,744"
92.00,"$127,963",Doctors Care,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13211, ' Littleton,,"$121,039",5.68%,Executive Director,"$435,057",99.57,"$73,496","$5,146,089",Health : Treatment and Prevention Services ,"$59,121",94.33,$0,"$1,928,532",CO,"$1,410,357"
96.00,"$901,523",Do Something,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9374, ' New York,,"$197,812",1.98%,Chief Executive Officer,"$-1,094,986",97.50,"$321,439","$12,137,900","Human Services : Youth Development, Shelter, and Crisis Services ","$13,034",96.66,$0,"$8,732,903",NY,"$6,696,349"
85.00,"$2,790,569",DKT International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3627, ' Washington,,"$374,511",0.22%,President & CEO,"$64,799,405",97.50,"$458,429","$216,603,841",International : Development and Relief Services ,"$13,814,501",89.24,$0,"$164,015,177",DC,"$97,787,203"
78.00,"$603,059",The Dixon Gallery and Gardens,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9632, '\r\n\t\t\tMemphis,,"$219,525",4.76%,Executive Director,"$-295,691",91.91,"$103,496","$5,005,754","Arts, Culture, Humanities : Museums ","$181,398",83.42,$0,"$3,900,838",TN,"$4,015,692"
85.00,"$863,795",District of Columbia College Access Program,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5467, ' Washington,,"$342,868",4.54%,"President, CEO","$651,156",88.77,"$582,034","$73,740,982",Education : Scholarship and Financial Support ,"$6,181,358",86.75,$0,"$6,105,784",DC,"$2,021,411"
