Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2018,Anonymous,,,"Valley Hospital Foundation (Ridgewood, N.J.)",New Jersey,Health,Gift,"$20,000,000 "
2018,Anonymous,,,Children's Hospital Los Angeles,California,Health,Gift,"$20,000,000 "
2018,Jon Stryker,Michigan,Family wealth,Kalamazoo College (Mich.),Michigan,Colleges and universities,Gift,"$20,000,000 "
2018,Stephen and Karen Ogren Sanger,Minnesota,Food and beverage,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,Gift,"$20,000,000 "
2018,Craig Newmark,California,Advertising,"City U. of New York, Graduate School of Journalism",New York,Colleges and universities,Gift,"$20,000,000 "
2018,Laura and John Arnold Foundation (John and Laura Arnold),Texas,"Energy, Finance",National Collaborative on Gun Violence Research (Houston),Texas,Public safety,Gift,"$20,000,000 "
2018,Peter G. Peterson,New York,Finance,Sesame Workshop (New York),New York,Children and youths,Pledge,"$20,000,000 "
2018,Ballmer Group (Steve and Connie Ballmer),Washington,Technology,"College Advising Corps (Chapel Hill, N.C.)",North Carolina,Education,Gift,"$20,000,000 "
2018,Crankstart Foundation (Harriet Heyman and Michael Moritz),California,,American Civil Liberties Union (New York),New York,Public affairs,ChallengeGift,"$20,000,000 "
2018,Steve and Connie Ballmer,Washington,Technology,Community Outcomes Fund (New York),New York,Other groups,Gift,"$20,000,000 "
2018,Robert Fischell,Maryland,"Health products, Invention",U. of Maryland School of Medicine (Baltimore),Maryland,Colleges and universities,Gift,"$20,000,000 "
2018,Mei-Lee Ney,California,Finance,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$20,000,000 "
2018,Rick and Allison Magnuson,California,Finance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Gift,"$20,000,000 "
2018,Robert M. Levy and Diane v.S. Levy Family Foundation (Robert and Diane von Schlegell Levy),Illinois,Finance,Art Institute of Chicago,Illinois,Colleges and universities,Gift,"$20,000,000 "
2018,Frank J. Guarini,New Jersey,Government,New York U. School of Law,New York,Colleges and universities,Gift,"$20,000,000 "
2018,Anonymous,,,Henry Ford Health System (Detroit),Michigan,Health,Gift,"$20,000,000 "
2018,Bruce and Bridgitt Evans,Massachusetts,Finance,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,Pledge,"$20,000,000 "
2018,Tad Taube,California,Real estate,Lucile Packard Children's Hospital Stanford (Calif.),California,Health,Pledge,"$20,000,000 "
2018,David Calhoun,New York,Finance,Virginia Tech (Blacksburg),Virginia,Colleges and universities,Gift,"$20,000,000 "
2018,Eugene and Maxine Rosenfeld,California,Real estate,U. of California at Los Angeles,California,Colleges and universities,Pledge,"$20,000,000 "
2018,Barry and Wendy Rowland,Vermont,Finance,"Burr and Burton Academy (Manchester, Vt.)",Vermont,Education,Gift,"$20,000,000 "
2018,Marcy Carsey,California,Entertainment,"U. of California at Los Angeles, Hammer Museum",California,Colleges and universities,Gift,"$20,000,000 "
2018,Daniel and Gayle D'Aniello,District of Columbia,Finance,Syracuse U. (N.Y.),New York,Colleges and universities,Gift,"$20,000,000 "
2018,Rady Family Foundation (Ernest and Evelyn Rady),California,Real estate,Jewish Family Service of San Diego,California,Human and social services,GiftChallenge,"$20,000,000 "
2018,Cecil Reynolds and Julia Hickman,Texas,Education,U. of Texas at Austin,Texas,Colleges and universities,Pledge,"$20,000,000 "
2018,Anonymous,,,California Community Foundation (Los Angeles),California,Community foundations,Gift,"$20,000,000 "
2018,James and Maureen Hackett,Texas,Oil,Meadows Mental Health Policy Institute (Houston),Texas,Health,Pledge,"$20,000,000 "
2018,Hyatt and Cici Brown,Florida,Insurance,"Stetson U. (DeLand, Fla.)",Florida,Colleges and universities,Gift,"$18,000,000 "
2018,Bob and Corrine Frick,Ohio,Food and beverage,Ohio State U. (Columbus),Ohio,Health,Gift,"$18,000,000 "
2018,Charlie and Irene Kreher,Illinois,Agriculture,"Lincoln Land Community College (Springfield, Ill.)",Illinois,Colleges and universities,Bequest,"$18,000,000 "
2018,Robert LaPenta,Connecticut,"Finance, Technology","Iona College (New Rochelle, N.Y.)",New York,Colleges and universities,Gift,"$17,500,000 "
2018,Keenan Family Foundation (Tim and Kathleen Keenan),Washington,Consulting,Ohio State U. (Columbus),Ohio,Colleges and universities,Pledge,"$17,000,000 "
2018,Kenneth C. Griffin Charitable Fund (Kenneth Griffin),Illinois,Finance,"Norton Museum of Art (West Palm Beach, Fla.)",Florida,Arts,Gift,"$16,000,000 "
2018,Graham Weston,Texas,"Real estate, Technology",U. of Texas at San Antonio,Texas,Colleges and universities,Gift,"$15,000,000 "
2018,Douglas G. and Mary Scrivner,California,Law,U. of Denver,Colorado,Colleges and universities,Gift,"$15,000,000 "
2018,Herbert Wagner III and Charlotte Wagner,,Finance,Partners in Health (Boston),Massachusetts,International,Gift,"$15,000,000 "
2018,David F. Bolger,New Jersey,Real estate,"Valley Hospital Foundation (Ridgewood, N.J.)",New Jersey,Health,Gift,"$15,000,000 "
2018,Marillyn and James Hewson,Maryland,Defense contracting,"U. of Alabama at Tuscaloosa, Culverhouse College of Commerce",Alabama,Colleges and universities,Gift,"$15,000,000 "
2018,Hyatt and Cici Brown,Florida,Insurance,City of Daytona Beach (Fla.),Florida,Other groups,Pledge,"$15,000,000 "
2018,Anonymous,,,"Rose-Hulman Institute of Technology (Terre Haute, Ind.)",Indiana,Colleges and universities,Gift,"$15,000,000 "
2018,Alexander and VIcki Levi,New York,"Family wealth, Health care",Johns Hopkins Berman Institute of Bioethics (Baltimore),Maryland,Colleges and universities,Gift,"$15,000,000 "
2018,Kim Kuehner,Missouri,Retail,Washington U. School of Medicine in St. Louis,Missouri,Colleges and universities,Pledge,"$15,000,000 "
2018,William and Mary Stone,Connecticut,"Finance, Technology",U. of Southern Indiana Foundation (Evansville),Indiana,Colleges and universities,Gift,"$15,000,000 "
2018,Blavatnik Family Foundation (Len Blavatnik),New York,"Chemicals, Media and entertainment, Real estate, Telecommunications","Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,Gift,"$15,000,000 "
2018,William and Mary Stone,Connecticut,"Finance, Technology","Health Sciences Center (Evansville, Ind.)",Indiana,Health,Gift,"$15,000,000 "
2018,Jack Garey,Texas,Law,"Southwestern U. (Georgetown, Tex.)",Texas,Colleges and universities,Gift,"$15,000,000 "
2018,Daniel and Margaret Loeb,New York,Finance,Success Academy Charter Schools (New York),New York,Education,Gift,"$15,000,000 "
2018,Marcus Foundation (Bernard and Billi Marcus),Georgia,Retail,American Heart Association (Dallas),Texas,Health,Gift,"$15,000,000 "
2018,A. James and Alice B. Clark Charitable Foundation (Alice B. Clark),Maryland,"Construction, Real estate",Georgia Institute of Technology (Atlanta),Georgia,Colleges and universities,Gift,"$15,000,000 "
2018,Keith Block and Suzanne Kelley,California,Technology,Carnegie Mellon U. (Pittsburgh),Pennsylvania,Colleges and universities,Gift,"$15,000,000 "
2018,Richard and Jill Chaifetz,Illinois,Consulting,Saint Louis U.,Missouri,Colleges and universities,Gift,"$15,000,000 "
2018,Gary and Barbara Rodkin,Nebraska,Food and beverage,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,Gift,"$15,000,000 "
2018,Paul and Wendy Raether,New York,Finance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Gift,"$15,000,000 "
2018,Christine Lynn,Florida,Insurance,Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$15,000,000 "
2018,Joel and Gail Morganroth,Florida,Health care,"Ringling College of Art and Design (Sarasota, Fla.)",Florida,Colleges and universities,Gift,"$15,000,000 "
2018,Tatiana and Gerret Copeland,Delaware,"Family wealth, Finance",Delaware Art Museum (Wilmington),Delaware,Arts,Pledge,"$15,000,000 "
2018,Mark and Dana Foley,California,,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$13,000,000 "
2018,Reser Family Foundation (Patricia Reser),Oregon,Food and beverage,Beaverton Arts Foundation (Ore.),Oregon,Arts,Gift,"$13,000,000 "
2018,Miriam Schwab,California,Family wealth,Ventura College Foundation (Calif.),California,Colleges and universities,Bequest,"$12,000,000 "
2018,Polonsky Foundation (Leonard Polonsky),Colorado,Insurance,New York Public Library,New York,Museums and libraries,Gift,"$12,000,000 "
2018,Anonymous,,,Worcester Polytechnic Institute (Mass.),Massachusetts,Colleges and universities,UnrestrictedPledge,"$12,000,000 "
2018,Wayne and Kay Woolsey,Kansas,Oil,Wichita State U. Foundation (Kan.),Kansas,Colleges and universities,Pledge,"$12,000,000 "
2018,Dr. C.W. Bixler Family Foundation (Don and Maria Johnson),Colorado,Construction,U. of Colorado at Denver,Colorado,Colleges and universities,Pledge,"$12,000,000 "
2018,Lois Pope,Florida,"Family wealth, Media and entertainment",Bascom Palmer Eye Institute (Miami),Florida,Health,Pledge,"$12,000,000 "
2018,Roger and Paul Koch,Missouri,Real estate,Washington U. in St. Louis,Missouri,Colleges and universities,Gift,"$12,000,000 "
2018,Myles Friedman,Arkansas,Investments,U. of Arkansas at Fort Smith Foundation,Arkansas,Colleges and universities,Bequest,"$10,800,000 "
2018,Vince and Joyce Virga,Florida,Technology,U. of Central Florida (Orlando),Florida,Colleges and universities,Pledge,"$10,250,000 "
2018,Stephen Byron Smith,Florida,,"Marvelwood School (Kent, Conn.)",Connecticut,Education,Pledge,"$10,000,000 "
2018,Donald and Donna Baumgartner,Wisconsin,Manufacturing,Milwaukee Ballet,Wisconsin,Arts,Gift,"$10,000,000 "
2018,Stewart Sr. Morris,Texas,Insurance,Houston Baptist U.,Texas,Colleges and universities,Gift,"$10,000,000 "
2018,Bruce and Ann Blume,Washington,Real estate,Georgetown U. Law Center (Washington),District of Columbia,Colleges and universities,,"$10,000,000 "
2018,Rick and Molly Klau,Pennsylvania,Construction,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$10,000,000 "
2018,Ronald and Eileen Lappin Weiser,Michigan,Real estate,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Gift,"$10,000,000 "
2018,Walter Family Foundation (Mark and Kimbra Walter),Illinois,Finance,"Chimp Haven (Keithville, La.)",Louisiana,Other groups,Gift,"$10,000,000 "
2018,Shelly Schwarz,Indiana,Real estate,Indiana U. Health (Bloomington),Indiana,Colleges and universities,Pledge,"$10,000,000 "
2018,Thomas Dolan,New York,"Family wealth, Telecommunications","St. Lawrence U. (Canton, N.Y.)",New York,Colleges and universities,Gift,"$10,000,000 "
2018,L. Dick Buell,Illinois,Finance,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,Pledge,"$10,000,000 "
2018,Blavatnik Family Foundation (Len Blavatnik),New York,"Chemicals, Media and entertainment, Real estate, Telecommunications",Stanford U. School of Medicine (Calif.),California,Colleges and universities,Pledge,"$10,000,000 "
2018,Lisa Maloff,California,"Casinos, Hotels","Barton Health (South Lake Tahoe, Calif.)",California,Health,Gift,"$10,000,000 "
2018,Robert and Emily Clay,Texas,Real estate,Memorial Park Conservancy (Houston),Texas,Other groups,Pledge,"$10,000,000 "
2018,Epstein Family Foundation (Daniel and Phyllis Epstein),California,Real estate,"U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,Gift,"$10,000,000 "
2018,Lorry Lokey,Oregon,Media and entertainment,American Society of the U. of Haifa (New York),New York,Colleges and universities,Gift,"$10,000,000 "
2018,Jerry E. Baker Foundation (Jerry Baker),Kentucky,Manufacturing,Western Kentucky U. (Bowling Green),Kentucky,Colleges and universities,Bequest,"$10,000,000 "
2018,William and Nancy Thompson Family Foundation (William and Nancy Thompson),Missouri,Finance,Children's Hospital of Orange County (Calif.),California,Health,Gift,"$10,000,000 "
2018,Wilson Sheehan Foundation (Christopher and Lorraine Sheehan Wilson),New York,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$10,000,000 "
2018,Ballmer Group (Steve and Connie Ballmer),Washington,Technology,Achievement Network (Boston),Massachusetts,Education,Gift,"$10,000,000 "
2018,Jane Batten,Virginia,Media and entertainment,U. of Virginia (Charlottesville),Virginia,Colleges and universities,Gift,"$10,000,000 "
2018,Blavatnik Family Foundation (Len Blavatnik),New York,"Chemicals, Media and entertainment, Real estate, Telecommunications",Mount Sinai Health System (New York),New York,Health,Gift,"$10,000,000 "
2018,John and Mary Jo Boler,Illinois,Manufacturing,"John Carroll U. (University Heights, Ohio)",Ohio,Colleges and universities,Gift,"$10,000,000 "
2018,Thomas Hagen and Sarah Hagen McWilliams,Pennsylvania,Insurance,"Wittenberg U. (Springfield, Ohio)",Ohio,Colleges and universities,Gift,"$10,000,000 "
2018,Bedford Falls Foundation (William E. and Joanne Barkett Conway),Virginia,Finance,U. of Maryland School of Nursing (Baltimore),Maryland,Colleges and universities,Gift,"$10,000,000 "
2018,Allen and Charlotte Ginsburg,California,Health care,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$10,000,000 "
2018,Robert and Carol Manegold,Wisconsin,Manufacturing,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,"$10,000,000 "
2018,William and Nancy Thompson,Missouri,Finance,Children's Hospital of Orange County (Calif.),California,Health,Gift,"$10,000,000 "
2018,Jon and Beverly Thompson,Florida,Oil,U. of Florida (Gainesville),Florida,Colleges and universities,Gift,"$10,000,000 "
2018,John and Raffaella Belanich,California,Real estate,U. of San Diego,California,Colleges and universities,Gift,"$10,000,000 "
2018,Andy Anderson,Minnesota,Construction,Regis U. (Denver),Colorado,Colleges and universities,Gift,"$10,000,000 "
2018,Boykin family,Ohio,Hotels,Cleveland Clinic,Ohio,Health,Pledge,"$10,000,000 "
2018,Anonymous,,,KEXP (Seattle),Washington,Other groups,Gift,"$10,000,000 "
2018,Kenneth Griffin,Illinois,Finance,U. of Chicago,Illinois,Colleges and universities,Gift,"$10,000,000 "
2018,Preston and Nancy Athey,Texas,"Finance, Health products",Connecticut College (New London),Connecticut,Colleges and universities,Gift,"$10,000,000 "
2018,Anonymous,,,Minnesota Public Radio (St. Paul),Minnesota,Other groups,Gift,"$10,000,000 "
2018,Anonymous,,,U. of Maine (Orono),Maine,Colleges and universities,Gift,"$10,000,000 "
2018,Jim and Carol Collins,California,Food and beverage,California Polytechnic State U. at Pomona,California,Colleges and universities,Gift,"$10,000,000 "
2018,Neil Griffin,Texas,,Arkansas State U. (Jonesboro),Arkansas,Colleges and universities,Gift,"$10,000,000 "
2018,Steve Charles,Virginia,"Consulting, Government",Temple U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$10,000,000 "
2018,Anthony and Jeanne Pritzker Family Foundation (Anthony and Jeanne Pritzker),California,"Family wealth, Investments",U. of California at Los Angeles,California,Colleges and universities,Gift,"$10,000,000 "
2018,Lorry Lokey,Oregon,Media and entertainment,U. of Oregon (Eugene),Oregon,Colleges and universities,Gift,"$10,000,000 "
2018,Steven and Jann Paul,Massachusetts,Biotechnology,Tulane U. (New Orleans),Louisiana,Colleges and universities,Gift,"$10,000,000 "
2018,Frank Joseph Fertitta III and Lorenzo Fertitta,Nevada,"Casinos, Professional Sports",Catholic Charities of Southern Nevada (Las Vegas),Nevada,Human and social services,Gift,"$10,000,000 "
2018,Tawani Foundation (Jennifer Pritzker),Illinois,Family wealth,Loyola U. Chicago,Illinois,Colleges and universities,Pledge,"$10,000,000 "
2018,Carl Bolch Jr. and Susan Bolch,Georgia,Retail,"Duke U. School of Law (Durham, N.C.)",North Carolina,Colleges and universities,Gift,"$10,000,000 "
2018,Robert Smittcamp,California,Food and beverage,"Community Medical Centers (Fresno, Calif.)",California,Health,Gift,"$10,000,000 "
2018,Kevin Durant Charitable Foundation (Kevin Durant),California,Professional Sports,"College Track (District Heights, Md.)",Maryland,Education,Pledge,"$10,000,000 "
2018,Diana Davis Spencer Foundation (Diana Davis Spencer),Maryland,"Family wealth, Finance",Wheaton College (Ill.),Illinois,Colleges and universities,GiftPledge,"$10,000,000 "
2018,Anonymous,,,U. of Maryland at College Park,Maryland,Colleges and universities,Gift,"$10,000,000 "
2018,Farmer Family Foundation (Scott Farmer),Ohio,Manufacturing,Cincinnati Cancer Center,Ohio,Health,Gift,"$10,000,000 "
2018,Stephen Schwarzman,New York,Finance,National Library of Israel,,Museums and libraries,Gift,"$10,000,000 "
2018,Schmidt Family Foundation (Barbara and Richard Schmidt),Florida,Family wealth,Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$10,000,000 "
2018,Stanley and Marilyn Barry,Florida,"Family wealth, Real estate",Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$10,000,000 "
2018,Anonymous,,,High Point U. (N.C.),North Carolina,Colleges and universities,Gift,"$10,000,000 "
2018,Blavatnik Family Foundation (Leonard Blavatnik),New York,Investments,Columbia U. (New York),New York,Colleges and universities,Gift,"$10,000,000 "
2018,Leonard Samia,Massachusetts,Real estate,Suffolk U. (Boston),Massachusetts,Colleges and universities,Pledge,"$10,000,000 "
2018,Robert and Cindy Peterson,Oklahoma,Transportation,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Gift,"$10,000,000 "
2018,Jean Hower Taber,Ohio,"Family wealth, Food and beverage",Cleveland Orchestra,Ohio,Arts,Bequest,"$9,300,000 "
2018,Anonymous,,,Planned Parenthood of Greater Texas (Dallas),Texas,Health,Gift,"$9,000,000 "
2018,Arthur and Toni Rembe Rock,California,Finance,California Academy of Sciences (San Francisco),California,Colleges and universities,Gift,"$9,000,000 "
2018,Ernest Tschannen,California,Real estate,California State U. at Sacramento,,Colleges and universities,Gift,"$9,000,000 "
2018,William Bethune,North Carolina,Education,"Cumberland Community Foundation (Fayetteville, N.C.)",North Carolina,Community foundations,Bequest,"$8,500,000 "
2018,Mary Hoppe,Texas,Health care,Saint Louis U.,Missouri,Colleges and universities,Bequest,"$8,400,000 "
